INDEPENDENT (3) CANDIDATE,Independent Candidate Name,
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
,,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,,
UMNO,United Malays National Organisation,
MCA,Malaysian Chinese Association,
MIC,Malaysian Indian Congress,
GERAKAN,Parti Gerakan Rakyat Malaysia,
LDP,Liberal Democratic Party,
UPKO,United Progressive Kinabalu Organisation,
SAPP,Sabah Progressive Party,
PBB,Parti Pesaka Bumiputera Bersatu,
PBDS,Parti Bansa Dayak Sarawak,
SNAP,Sarawak National Party,
SUPP,Sarawak United People's Party,
PAS,Parti Islam Se-Malaysia,
DAP,Democratic Action Party,
PRM,Parti Rakyat Malaysia,
PKR,Parti Keadilan Rakyat,
PBS,Parti Bersatu Sabah,
AKIM,Parti Angkatan Keadilan Insan Malaysia,
BERJASA,Barisan Jemaah Islamiah,
MDP,Malaysian Democratic Party,
STAR,State Reform Party,
