UNIQUE CODE (2019),STATE (2019),PARLIAMENT CONSTITUENCY CODE (2019),PARLIAMENT CONSTITUENCY NAME (2019),STATE CONSTITUENCY CODE (2019),STATE CONSTITUENCY NAME (2019),AREA (SQ KM),NOTES
P. 184_N. 50,SABAH,P. 184,LIBARAN,N. 50,GUM-GUM,777,AS per 2019 Gazetted Redelineation
P. 184_N. 51,SABAH,P. 184,LIBARAN,N. 51,SUNGAI MANILA,116,AS per 2019 Gazetted Redelineation
P. 184_N. 52,SABAH,P. 184,LIBARAN,N. 52,SUNGAI SIBUGA,37,AS per 2019 Gazetted Redelineation
P. 185_N. 53,SABAH,P. 185,BATU SAPI,N. 53,SEKONG,442,AS per 2019 Gazetted Redelineation
P. 185_N. 54,SABAH,P. 185,BATU SAPI,N. 54,KARAMUNTING,12,AS per 2019 Gazetted Redelineation
P. 186_N. 55,SABAH,P. 186,SANDAKAN,N. 55,ELOPURA,19,AS per 2019 Gazetted Redelineation
P. 186_N. 56,SABAH,P. 186,SANDAKAN,N. 56,TANJONG PAPAT,4,AS per 2019 Gazetted Redelineation
P. 187_N. 57,SABAH,P. 187,KINABATANGAN,N. 57,KUAMUT,10954,AS per 2019 Gazetted Redelineation
P. 187_N. 58,SABAH,P. 187,KINABATANGAN,N. 58,LAMAG,2142,AS per 2019 Gazetted Redelineation
P. 187_N. 59,SABAH,P. 187,KINABATANGAN,N. 59,SUKAU,4972,AS per 2019 Gazetted Redelineation
P. 188_N. 60,SABAH,P. 188,LAHAD DATU,N. 60,TUNGKU,3297,AS per 2019 Gazetted Redelineation
P. 188_N. 61,SABAH,P. 188,LAHAD DATU,N. 61,SEGAMA,1144,AS per 2019 Gazetted Redelineation
P. 188_N. 62,SABAH,P. 188,LAHAD DATU,N. 62,SILAM,3049,AS per 2019 Gazetted Redelineation
P. 188_N. 63,SABAH,P. 188,LAHAD DATU,N. 63,KUNAK,1104,AS per 2019 Gazetted Redelineation
P. 189_N. 64,SABAH,P. 189,SEMPORNA,N. 64,SULABAYAN,234,AS per 2019 Gazetted Redelineation
P. 189_N. 65,SABAH,P. 189,SEMPORNA,N. 65,SENALLANG,299,AS per 2019 Gazetted Redelineation
P. 189_N. 66,SABAH,P. 189,SEMPORNA,N. 66,BUGAYA,593,AS per 2019 Gazetted Redelineation
P. 190_N. 67,SABAH,P. 190,TAWAU,N. 67,BALUNG,943,AS per 2019 Gazetted Redelineation
P. 190_N. 68,SABAH,P. 190,TAWAU,N. 68,APAS,370,AS per 2019 Gazetted Redelineation
P. 190_N. 69,SABAH,P. 190,TAWAU,N. 69,SRI TANJONG,19,AS per 2019 Gazetted Redelineation
P. 191_N. 70,SABAH,P. 191,KALABAKAN,N. 70,KUKUSAN,8,AS per 2019 Gazetted Redelineation
P. 191_N. 71,SABAH,P. 191,KALABAKAN,N. 71,TANJUNG BATU,11,AS per 2019 Gazetted Redelineation
P. 191_N. 72,SABAH,P. 191,KALABAKAN,N. 72,MEROTAI,902,AS per 2019 Gazetted Redelineation
P. 191_N. 73,SABAH,P. 191,KALABAKAN,N. 73,SEBATIK,3630,AS per 2019 Gazetted Redelineation

