UNIQUE CODE (2018),PARLIAMENTARY CONSTITUENCY CODE (2018),PARLIAMENTARY CONSTITUENCY NAME (2018),STATE CONSTITUENCY CODE (2018),STATE CONSTITUENCY NAME (2018),UNIQUE CODE (2019),PARLIAMENTARY CODE (2019),PARLIAMENTARY NAME (2019),STATE CONSTITUENCY CODE (2019),STATE CONSTITUENCY NAME (2019),DUN NAME CHANGE,NEW DUN SEAT,NOTES
P. 171_N. 13,P. 171,SEPANGGAR,N. 13,INANAM,P. 171_N. 18,P. 171,SEPANGGAR,N. 18,INANAM,,,Boundaries were changed
P. 172_N. 14,P. 172,KOTA KINABALU,N. 14,LIKAS,P. 172_N. 19,P. 172,KOTA KINABALU,N. 19,LIKAS,,,
P. 172_N. 15,P. 172,KOTA KINABALU,N. 15,API-API,P. 172_N. 20,P. 172,KOTA KINABALU,N. 20,API-API,,,
P. 172_N. 16,P. 172,KOTA KINABALU,N. 16,LUYANG,P. 172_N. 21,P. 172,KOTA KINABALU,N. 21,LUYANG,,,Boundaries were changed
P. 173_N. 17,P. 173,PUTATAN,N. 17,TANJONG ARU,P. 173_N. 22,P. 173,PUTATAN,N. 22,TANJUNG ARU,YES,,Boundaries were changed
P. 173_N. 18,P. 173,PUTATAN,N. 18,PETAGAS,P. 173_N. 23,P. 173,PUTATAN,N. 23,PETAGAS,,,Boundaries were changed
,,,,,P. 173_N. 24,P. 173,PUTATAN,N. 24,TANJUNG KERAMAT,,YES,Constituency largely formed from formerly named Tanjong Aru and remaining areas from Petagas and Kawang
P. 174_N. 19,P. 174,PENAMPANG,N. 19,KAPAYAN,P. 174_N. 25,P. 174,PENAMPANG,N. 25,KAPAYAN,,,Boundaries were changed
P. 174_N. 20,P. 174,PENAMPANG,N. 20,MOYOG,P. 174_N. 26,P. 174,PENAMPANG,N. 26,MOYOG,,,
,,,,,P. 175_N. 27,P. 175,PAPAR,N. 27,LIMBAHAU,,YES,Constituency formed from Pantai Manis
P. 175_N. 21,P. 175,PAPAR,N. 21,KAWANG,P. 175_N. 28,P. 175,PAPAR,N. 28,KAWANG,,,Boundaries were changed
P. 175_N. 22,P. 175,PAPAR,N. 22,PANTAI MANIS,P. 175_N. 29,P. 175,PAPAR,N. 29,PANTAI MANIS,,,Boundaries were changed
P. 176_N. 23,P. 176,KIMANIS,N. 23,BONGAWAN,P. 176_N. 30,P. 176,KIMANIS,N. 30,BONGAWAN,,,
P. 176_N. 24,P. 176,KIMANIS,N. 24,MEMBAKUT,P. 176_N. 31,P. 176,KIMANIS,N. 31,MEMBAKUT,,,
P. 177_N. 25,P. 177,BEAUFORT,N. 25,KLIAS,P. 177_N. 32,P. 177,BEAUFORT,N. 32,KLIAS,,,
P. 177_N. 26,P. 177,BEAUFORT,N. 26,KUALA PENYU,P. 177_N. 33,P. 177,BEAUFORT,N. 33,KUALA PENYU,,,
P. 178_N. 27,P. 178,SIPITANG,N. 27,LUMADAN,P. 178_N. 34,P. 178,SIPITANG,N. 34,LUMADAN,,,
P. 178_N. 28,P. 178,SIPITANG,N. 28,SINDUMIN,P. 178_N. 35,P. 178,SIPITANG,N. 35,SINDUMIN,,,
P. 179_N. 29,P. 179,RANAU,N. 29,KUNDASANG,P. 179_N. 36,P. 179,RANAU,N. 36,KUNDASANG,,,
P. 179_N. 30,P. 179,RANAU,N. 30,KARANAAN,P. 179_N. 37,P. 179,RANAU,N. 37,KARANAAN,,,
P. 179_N. 31,P. 179,RANAU,N. 31,PAGINATAN,P. 179_N. 38,P. 179,RANAU,N. 38,PAGINATAN,,,
P. 180_N. 32,P. 180,KENINGAU,N. 32,TAMBUNAN,P. 180_N. 39,P. 180,KENINGAU,N. 39,TAMBUNAN,,,
P. 180_N. 33,P. 180,KENINGAU,N. 33,BINGKOR,P. 180_N. 40,P. 180,KENINGAU,N. 40,BINGKOR,,,
P. 180_N. 34,P. 180,KENINGAU,N. 34,LIAWAN,P. 180_N. 41,P. 180,KENINGAU,N. 41,LIAWAN,,,
P. 181_N. 35,P. 181,TENOM,N. 35,MELALAP,P. 181_N. 42,P. 181,TENOM,N. 42,MELALAP,,,
P. 181_N. 36,P. 181,TENOM,N. 36,KEMABONG,P. 181_N. 43,P. 181,TENOM,N. 43,KEMABONG,,,
,,,,,P. 182_N. 44,P. 182,PENSIANGAN,N. 44,TULID,,YES,Constituency formed from Sook
P. 182_N. 37,P. 182,PENSIANGAN,N. 37,SOOK,P. 182_N. 45,P. 182,PENSIANGAN,N. 45,SOOK,,,Boundaries were changed
P. 182_N. 38,P. 182,PENSIANGAN,N. 38,NABAWAN,P. 182_N. 46,P. 182,PENSIANGAN,N. 46,NABAWAN,,,
,,,,,P. 183_N. 47,P. 183,BELURAN,N. 47,TELUPID,,YES,Constituency formed from Labuk
P. 183_N. 39,P. 183,BELURAN,N. 39,SUGUT,P. 183_N. 48,P. 183,BELURAN,N. 48,SUGUT,,,
P. 183_N. 40,P. 183,BELURAN,N. 40,LABUK,P. 183_N. 49,P. 183,BELURAN,N. 49,LABUK,,,Boundaries were changed
P. 184_N. 41,P. 184,LIBARAN,N. 41,GUM-GUM,P. 184_N. 50,P. 184,LIBARAN,N. 50,GUM-GUM,,,
,,,,,P. 184_N. 51,P. 184,LIBARAN,N. 51,SUNGAI MANILA,,YES,Constituency formed from Sungai Sibuga
P. 184_N. 42,P. 184,LIBARAN,N. 42,SUNGAI SIBUGA,P. 184_N. 52,P. 184,LIBARAN,N. 52,SUNGAI SIBUGA,,,Boundaries were changed
P. 185_N. 43,P. 185,BATU SAPI,N. 43,SEKONG,P. 185_N. 53,P. 185,BATU SAPI,N. 53,SEKONG,,,
P. 185_N. 44,P. 185,BATU SAPI,N. 44,KARAMUNTING,P. 185_N. 54,P. 185,BATU SAPI,N. 54,KARAMUNTING,,,
P. 186_N. 45,P. 186,SANDAKAN,N. 45,ELOPURA,P. 186_N. 55,P. 186,SANDAKAN,N. 55,ELOPURA,,,
P. 186_N. 46,P. 186,SANDAKAN,N. 46,TANJONG PAPAT,P. 186_N. 56,P. 186,SANDAKAN,N. 56,TANJONG PAPAT,,,
P. 187_N. 47,P. 187,KINABATANGAN,N. 47,KUAMUT,P. 187_N. 57,P. 187,KINABATANGAN,N. 57,KUAMUT,,,Boundaries were changed
,,,,,P. 187_N. 58,P. 187,KINABATANGAN,N. 58,LAMAG,,YES,Constituency largely from Kuamut and remaining from Sukau
P. 187_N. 48,P. 187,KINABATANGAN,N. 48,SUKAU,P. 187_N. 59,P. 187,KINABATANGAN,N. 59,SUKAU,,,Boundaries were changed
P. 188_N. 49,P. 188,SILAM,N. 49,TUNGKU,P. 188_N. 60,P. 188,LAHAD DATU,N. 60,TUNGKU,,,Boundaries were changed
,,,,,P. 188_N. 61,P. 188,LAHAD DATU,N. 61,SEGAMA,,YES,Constituency formed from formally named in Lahad Datu and Tungku
P. 188_N. 50,P. 188,SILAM,N. 50,LAHAD DATU,P. 188_N. 62,P. 188,LAHAD DATU,N. 62,SILAM,YES,,Boundaries were changed
P. 188_N. 51,P. 188,SILAM,N. 51,KUNAK,P. 188_N. 63,P. 188,LAHAD DATU,N. 63,KUNAK,,,
P. 189_N. 52,P. 189,SEMPORNA,N. 52,SULABAYAN,P. 189_N. 64,P. 189,SEMPORNA,N. 64,SULABAYAN,,,
P. 189_N. 53,P. 189,SEMPORNA,N. 53,SENALLANG,P. 189_N. 65,P. 189,SEMPORNA,N. 65,SENALLANG,,,
P. 189_N. 54,P. 189,SEMPORNA,N. 54,BUGAYA,P. 189_N. 66,P. 189,SEMPORNA,N. 66,BUGAYA,,,
P. 190_N. 55,P. 190,TAWAU,N. 55,BALUNG,P. 190_N. 67,P. 190,TAWAU,N. 67,BALUNG,,,
P. 190_N. 56,P. 190,TAWAU,N. 56,APAS,P. 190_N. 68,P. 190,TAWAU,N. 68,APAS,,,
P. 190_N. 57,P. 190,TAWAU,N. 57,SRI TANJONG,P. 190_N. 69,P. 190,TAWAU,N. 69,SRI TANJONG,,,
P. 191_N. 58,P. 191,KALABAKAN,N. 58,MEROTAI,P. 191_N. 72,P. 191,KALABAKAN,N. 72,MEROTAI,,,Boundaries were changed
P. 191_N. 59,P. 191,KALABAKAN,N. 59,TANJONG BATU,P. 191_N. 71,P. 191,KALABAKAN,N. 71,TANJUNG BATU,YES,,Boundaries were changed
P. 191_N. 60,P. 191,KALABAKAN,N. 60,SEBATIK,P. 191_N. 73,P. 191,KALABAKAN,N. 73,SEBATIK,,,Boundaries were changed
,,,,,P. 191_N. 70,P. 191,KALABAKAN,N. 70,KUKUSAN,,YES,"Constituency formed Merotai, formerly named Tanjong Batu and Sebatik"
