Created on,"11/7/2022, updated on 8/5/2023"
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (1) CANDIDATE VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (2),Other Party Name
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name as per the Government Gazette (Form 8)
OTHER PARTY (2) CANDIDATE GENDER,Male/Female Classification
OTHER PARTY (2) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (2) CANDIDATE VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 1,Independent with Symbol
INDEPENDENT 1 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 1 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 1 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 1 CANDIDATE VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 1 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 2,Independent with Symbol
INDEPENDENT 2 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 2 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 2 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 2 VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 2 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 3,Independent with Symbol
INDEPENDENT 3 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 3 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 3 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 3 CANDIDATE VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 3 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 4,Independent with Symbol
INDEPENDENT 4 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 4 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 4 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 4 CANDIDATE VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 4 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
,
"KEY ABBREVIATIONS FOR POLITICAL PARTIES UNDER BN, PH AND PN",
UMNO,United Malays National Organisation
MCA,Malaysian Chinese Association
PBRS,Parti Bersatu Rakyat Sabah
PKR,Parti Keadilan Rakyat
DAP,Democratic Action Party
PAN,Parti Amanah Negara
WARISAN,Parti Warisan
UPKO,United Progressive Kinabalu Organisation
PPBM,Parti Pribumi Bersatu Malaysia
SAPP,Sabah Progressive Party
STAR,Parti Solidariti Tanah Airku
PPRS,Parti Perpaduan Rakyat Sabah
ANAK NEGERI,Parti Kerjasama Anak Negeri
PKS,Parti Kebangsaan Sabah
HR,Parti Harapan Rakyat Sabah
