UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,AREA (SQ KM),Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 154_N. 22,SABAH,P. 154,BEAUFORT,N. 22,KLIAS,575,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 155_N. 23,SABAH,P. 155,SIPITANG,N. 23,LUMADAN,1013,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 155_N. 24,SABAH,P. 155,SIPITANG,N. 24,SINDUMIN,2715,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 156_N. 25,SABAH,P. 156,KINABALU,N. 25,KUNDASANG,1845,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 156_N. 26,SABAH,P. 156,KINABALU,N. 26,RANAU,1922,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 157_N. 27,SABAH,P. 157,KENINGAU,N. 27,TAMBUNAN,1425,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 157_N. 28,SABAH,P. 157,KENINGAU,N. 28,BINGKOR,1535,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 157_N. 29,SABAH,P. 157,KENINGAU,N. 29,PENSIANGAN,7437,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 158_N. 30,SABAH,P. 158,TENOM,N. 30,MELALAP,943,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 158_N. 31,SABAH,P. 158,TENOM,N. 31,KEMABONG,1854,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 159_N. 32,SABAH,P. 159,BELURAN,N. 32,SUGUT,3642,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 159_N. 33,SABAH,P. 159,BELURAN,N. 33,LABUK,4258,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOST DEPOSIT
P. 160_N. 34,SABAH,P. 160,LIBARAN,N. 34,SUNGAI SIBUGA,352,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 160_N. 35,SABAH,P. 160,LIBARAN,N. 35,SEKONG,326,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 161_N. 36,SABAH,P. 161,SANDAKAN,N. 36,ELOPURA,26,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 161_N. 37,SABAH,P. 161,SANDAKAN,N. 37,TANJONG PAPAT,5,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 161_N. 38,SABAH,P. 161,SANDAKAN,N. 38,KARAMUNTING,5,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 162_N. 39,SABAH,P. 162,KINABATANGAN,N. 39,SUKAU,6132,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 162_N. 40,SABAH,P. 162,KINABATANGAN,N. 40,KUAMUT,12913,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 163_N. 41,SABAH,P. 163,SILAM,N. 41,KUNAK,1923,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 163_N. 42,SABAH,P. 163,SILAM,N. 42,LAHAD DATU,6545,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 164_N. 43,SABAH,P. 164,SEMPORNA,N. 43,SULABAYAN,236,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 164_N. 44,SABAH,P. 164,SEMPORNA,N. 44,SENALLANG,335,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 164_N. 45,SABAH,P. 164,SEMPORNA,N. 45,BALUNG,1349,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 165_N. 46,SABAH,P. 165,TAWAU,N. 46,MEROTAI,642,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 165_N. 47,SABAH,P. 165,TAWAU,N. 47,KALABAKAN,3972,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 165_N. 48,SABAH,P. 165,TAWAU,N. 48,SRI TANJONG,25,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
