INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,
INDEPENDENT (2),Independent with Symbol,,
INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8),,
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification,,
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate,,
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate,,
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,
,,,
"KEY ABBREVIATIONS FOR POLITICAL PARTIES UNDER BN, PH, GS AND GSABAH",,,
UMNO,United Malays National Organisation,,
MCA,Malaysian Chinese Association,,
MIC,Malaysian Indian Congress,,
GERAKAN,Parti Gerakan Rakyat Malaysia,,
myPPP,People's Progressive Party,,
PBB,Parti Pesaka Bumiputera Bersatu Sarawak,,
PDP,Parti Demokratik Progresif,,
PRS,Parti Rakyat Sarawak,,
SUPP,Sarawak United Peoples' Party,,
UPKO,United Progressive Kinabalu Organisation,,
PBS,Parti Bersatu Sabah,,
PBRS,Parti Bersatu Rakyat Sabah,,
LDP,Liberal Democratic Party,,
PKR,Parti Keadilan Rakyat,,
DAP,Democratic Action Party,,
AMANAH,Parti Amanah Negara,,
PPBM,Parti Pribumi Bersatu Malaysia,,
PAS,Parti Islam Se-Malaysia,,
IKATAN,Parti Ikatan Bangsa Malaysia,,
PHRS,Parti Harapan Rakyat Sabah,,
PPRS,Parti Perpaduan Rakyat Sabah,,
SAPP,Sabah Progressive Party,,
STAR,Parti Solidariti Tanah Airku,,
,,,
ABBREVIATIONS FOR OTHER POLITICAL PARTIES,,,
PKAN,Parti Kerjasama Anak Negeri,,
MUP,Malaysian United Party,,
PAP,People's Alternative Party,,
PBDSB,Parti Bansa Dayak Sarawak Baru,,
PBK,Parti Bumi Kenyalang,,
PCS,Parti Cinta Sabah,,
PEACE,"	Parti Rakyat Gabungan Jaksa Pendamai",,
PFP,Penang Front Party,,
PRM,"	Parti Rakyat Malaysia",,
PSM,Parti Sosialis Malaysia,,
BERJASA,Barisan Jemaah Islamiah Se-Malaysia,,
PCM,Parti Cinta Malaysia,,
STAR SARAWAK,State Reform Party (Sarawak),,
PKS,Parti Kebangsaan Sabah,,
USNO,United Sabah National Organisation (New),,
