UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2023)
P.010_N.15,KEDAH,P.010,KUALA KEDAH,N.15,ANAK BUKIT,36491,88.7,9.43,1.3,0.01,0.05,0.03,0.48,99.9,0.01,0.09,0,5.9,20.1,21.5,17.4,14.6,12.2,5.9,2,0.3,48.4,51.6,SEMI URBAN
P.010_N.16,KEDAH,P.010,KUALA KEDAH,N.16,KUBANG ROTAN,50233,70.5,27.8,0.98,0.01,0.04,0.04,0.63,99.96,0.01,0.03,0,6.2,21.4,22.8,17.9,13.2,10.9,5.5,1.7,0.3,49.4,50.6,SEMI URBAN
P.010_N.17,KEDAH,P.010,KUALA KEDAH,N.17,PENGKALAN KUNDOR,46235,72.08,26.16,1.26,0,0.03,0.04,0.42,99.95,0.01,0.05,0,5.9,21.6,22.5,17.6,13.5,11.4,5.5,1.8,0.2,49.2,50.8,SEMI URBAN
P.011_N.18,KEDAH,P.011,PENDANG,N.18,TOKAI,45374,91.58,7.69,0.25,0.01,0.05,0.04,0.38,99.6,0,0.4,0,5.9,19.7,21.5,18.2,14.8,11.2,6.2,2.2,0.3,48.3,51.7,SEMI URBAN
P.011_N.19,KEDAH,P.011,PENDANG,N.19,SUNGAI TIANG,49414,85.68,1.93,0.76,0.01,0.03,0.01,11.57,99.93,0,0.06,0,6,21.4,22.2,17.6,14.8,10.6,5.2,2,0.3,48.8,51.2,RURAL
P.012_N.20,KEDAH,P.012,JERAI,N.20,SUNGAI LIMAU,34283,94.08,5.61,0.07,0,0.04,0.01,0.2,99.99,0.01,0,0,5.2,18.4,20.5,18.9,16.6,11.6,6.1,2.3,0.3,48.5,51.5,RURAL
P.012_N.21,KEDAH,P.012,JERAI,N.21,GUAR CHEMPEDAK,30085,89.83,9.14,0.69,0.01,0.08,0.03,0.22,99.37,0.02,0.61,0,6.2,22.4,21.6,16.7,14.6,11,5.4,1.8,0.4,49.3,50.7,SEMI URBAN
P.012_N.22,KEDAH,P.012,JERAI,N.22,GURUN,40941,62.67,21.61,14.79,0.03,0.08,0.05,0.77,99.69,0,0.18,0.13,7.1,22.6,20.8,17.3,14.2,10.4,5.4,1.8,0.4,49.8,50.2,SEMI URBAN
P.013_N.23,KEDAH,P.013,SIK,N.23,BELANTEK,28165,93.03,1.63,0.2,0.02,0.17,0.04,4.92,99.44,0,0.56,0,6,21.2,22.8,18,14.7,10.2,4.9,1.9,0.3,49.3,50.7,RURAL
P.013_N.24,KEDAH,P.013,SIK,N.24,JENERI,35097,92.16,1.29,0.12,0.02,0.03,0.03,6.34,99.95,0.01,0.04,0,6,20.8,23.4,19.1,13.5,9.9,5.3,1.6,0.2,49.3,50.7,RURAL
P.014_N.25,KEDAH,P.014,MERBOK,N.25,BUKIT SELAMBAU,79518,61.36,17.42,20.08,0.02,0.15,0.09,0.88,99.39,0.03,0.58,0,8.2,26.2,21.7,15.6,13,10.2,3.9,0.9,0.2,49.1,50.9,URBAN
P.014_N.26,KEDAH,P.014,MERBOK,N.26,TANJONG DAWAI,54629,81.2,11.69,5.69,0.08,0.34,0.55,0.45,91.23,0.01,0.06,8.7,6.3,23,24.4,18.2,12.9,8.9,4.7,1.4,0.2,50.6,49.4,SEMI URBAN
P.015_N.27,KEDAH,P.015,SUNGAI PETANI,N.27,PANTAI MERDEKA,51502,91.11,6.05,2.37,0.02,0.07,0.05,0.34,99.93,0.01,0.06,0,7.3,25.3,21.1,15.9,14.8,9.8,4.3,1.4,0.2,49.2,50.8,SEMI URBAN
P.015_N.28,KEDAH,P.015,SUNGAI PETANI,N.28,BAKAR ARANG,57867,47.58,36.99,14.64,0.01,0.08,0.04,0.64,99.71,0.03,0.26,0,5.7,22.4,22.2,16.1,14,12.1,5.5,1.6,0.4,48.7,51.3,URBAN
P.015_N.29,KEDAH,P.015,SUNGAI PETANI,N.29,SIDAM,60983,49.29,30.81,18.7,0.02,0.12,0.06,0.99,99.99,0.01,0,0,8.7,24.7,19.5,16.4,14.1,10.2,4.7,1.5,0.3,48.9,51.1,URBAN
P.016_N.30,KEDAH,P.016,BALING,N.30,BAYU,47613,92.97,3.58,0.66,0.39,0.11,0.07,2.22,99.39,0,0.61,0,5.8,21,22.3,17.9,14.8,10.5,5.3,2,0.3,49.1,50.9,SEMI URBAN
P.016_N.31,KEDAH,P.016,BALING,N.31,KUPANG,42720,92.33,3.36,2.5,0.01,0.06,0.04,1.69,99.94,0,0.06,0,6.1,22,22.8,17.8,14,10.4,4.9,1.6,0.3,49,51,SEMI URBAN
P.016_N.32,KEDAH,P.016,BALING,N.32,KUALA KETIL,42184,82.35,5.68,11.08,0.01,0.09,0.03,0.75,99.9,0.01,0.09,0,6.4,22.6,22.4,17.4,14.6,9.9,4.6,1.7,0.4,48.8,51.2,RURAL
P.017_N.33,KEDAH,P.017,PADANG SERAI,N.33,MERBAU PULAS,53323,76.68,6.74,15.89,0,0.09,0.1,0.5,99.88,0.01,0.11,0,9.1,26.3,19.4,16.7,14.1,8.9,4,1.2,0.2,48.7,51.3,SEMI URBAN
P.017_N.34,KEDAH,P.017,PADANG SERAI,N.34,LUNAS,82212,53.69,24.29,21.3,0.01,0.07,0.06,0.59,99.96,0.01,0.03,0,8.6,26.7,20.8,15.8,13.5,9.4,3.8,1.2,0.2,49.2,50.8,URBAN
P.018_N.35,KEDAH,P.018,KULIM-BANDAR BAHARU,N.35,KULIM,54169,63.4,19.4,16.51,0.02,0.14,0.08,0.45,97.56,0.01,2.43,0,6.2,22.5,22.6,16.6,14.2,11,4.9,1.5,0.4,49.5,50.5,URBAN
P.018_N.36,KEDAH,P.018,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,36164,79.98,13.3,6.36,0.02,0.09,0.06,0.2,99.44,0,0.55,0,5.8,20.7,21.2,18.1,15.1,10.9,5.8,2.2,0.3,49.4,50.6,RURAL
