UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.020_N.07,KELANTAN,P.020,PENGKALAN CHEPA,N.07,PANCHOR,PN - PAS,DATO' NIK AMAR,MALE,63,
P.021_N.08,KELANTAN,P.021,KOTA BHARU,N.08,TANJONG MAS,PN - PAS,KAK ANI,FEMALE,58,
P.021_N.09,KELANTAN,P.021,KOTA BHARU,N.09,KOTA LAMA,PH - AMANAH,DR HAFIDZAH,FEMALE,59,
P.021_N.10,KELANTAN,P.021,KOTA BHARU,N.10,BUNUT PAYONG,PN - PAS,SHAARI,MALE,58,
P.022_N.11,KELANTAN,P.022,PASIR MAS,N.11,TENDONG,PN - PAS,ROZI MUHAMAD,MALE,51,
P.022_N.12,KELANTAN,P.022,PASIR MAS,N.12,PENGKALAN PASIR,PN - PAS,HAJI NASRIFF DAUD YATIMEE,MALE,57,
P.022_N.13,KELANTAN,P.022,PASIR MAS,N.13,MERANTI,PN - PAS,DATO' US. HJ. NASSURUDDIN,MALE,57,
P.023_N.14,KELANTAN,P.023,RANTAU PANJANG,N.14,CHETOK,PN - PAS,HAJI ZURAIDIN ABDULLAH,MALE,54,
P.023_N.15,KELANTAN,P.023,RANTAU PANJANG,N.15,GUAL PERIOK,PN - PAS,KAMARUZAMAN,MALE,50,
P.023_N.16,KELANTAN,P.023,RANTAU PANJANG,N.16,APAM PUTRA,PN - PAS,ABE ZAM,MALE,52,
P.024_N.17,KELANTAN,P.024,KUBANG KERIAN,N.17,SALOR,PN - PAS,ABE JOE,MALE,43,
P.024_N.18,KELANTAN,P.024,KUBANG KERIAN,N.18,PASIR TUMBOH,PN - PAS,USTAZ ABD RAHMAN,MALE,60,
P.024_N.19,KELANTAN,P.024,KUBANG KERIAN,N.19,DEMIT,PN - PAS,USTAZ ASRI,MALE,46,
P.025_N.20,KELANTAN,P.025,BACHOK,N.20,TAWANG,PN - PAS,USTAZ HARUN,MALE,52,
P.025_N.21,KELANTAN,P.025,BACHOK,N.21,PANTAI IRAMA,PN - PAS,HAJI MIE,MALE,57,
P.025_N.22,KELANTAN,P.025,BACHOK,N.22,JELAWAT,PN - PAS,LOYAR ZAMERI,MALE,53,
P.026_N.23,KELANTAN,P.026,KETEREH,N.23,MELOR,PN - PAS,WAN ROHIMI,MALE,47,
P.026_N.24,KELANTAN,P.026,KETEREH,N.24,KADOK,PN - PAS,DATO' AZAMI,MALE,65,
P.026_N.25,KELANTAN,P.026,KETEREH,N.25,KOK LANAS,PN - PPBM,DATO' FARID,MALE,56,
P.027_N.26,KELANTAN,P.027,TANAH MERAH,N.26,BUKIT PANAU,PN - PAS,DATO' ABDUL FATTAH,MALE,59,
P.027_N.27,KELANTAN,P.027,TANAH MERAH,N.27,GUAL IPOH,PN - PPBM,BAHARI,MALE,55,
P.027_N.28,KELANTAN,P.027,TANAH MERAH,N.28,KEMAHANG,PN - PAS,DATO' MEJAR(B) NIZAM,MALE,69,
P.028_N.29,KELANTAN,P.028,PASIR PUTEH,N.29,SELISING,PN - PAS,UST TUAN SARIPUDIN,MALE,51,
P.028_N.30,KELANTAN,P.028,PASIR PUTEH,N.30,LIMBONGAN,PN - PAS,USTAZAH ASILAH,FEMALE,50,
P.028_N.31,KELANTAN,P.028,PASIR PUTEH,N.31,SEMERAK,PN - PAS,NORSHAM CIKGU ABANG,MALE,58,
P.028_N.32,KELANTAN,P.028,PASIR PUTEH,N.32,GAAL,PN - PAS,USTAZ RODZI,MALE,55,
P.029_N.33,KELANTAN,P.029,MACHANG,N.33,PULAI CHONDONG,PN - PAS,USTAZ AZHAR,MALE,56,
P.029_N.34,KELANTAN,P.029,MACHANG,N.34,TEMANGAN,PN - PAS,DATO' DR. FADZLI HASSAN,MALE,55,
P.029_N.35,KELANTAN,P.029,MACHANG,N.35,KEMUNING,PN - PAS,LAWYER ZAKHRAN,MALE,40,
P.030_N.36,KELANTAN,P.030,JELI,N.36,BUKIT BUNGA,PN - PPBM,ALMIDI,MALE,47,
P.030_N.37,KELANTAN,P.030,JELI,N.37,AIR LANAS,PN - PPBM,DATUK KAMARUDIN,MALE,76,
P.030_N.38,KELANTAN,P.030,JELI,N.38,KUALA BALAH,PN - PAS,DATO' HADI,MALE,69,
P.031_N.39,KELANTAN,P.031,KUALA KRAI,N.39,MENGKEBANG,PN - PAS,HAJI ZUBIR,MALE,50,
P.031_N.40,KELANTAN,P.031,KUALA KRAI,N.40,GUCHIL,PN - PAS,LAWYER MIE,MALE,46,
P.031_N.41,KELANTAN,P.031,KUALA KRAI,N.41,MANEK URAI,PN - PAS,ABE UJI,MALE,63,
P.031_N.42,KELANTAN,P.031,KUALA KRAI,N.42,DABONG,PN - PAS,TOK IME KU ZAKI,MALE,50,
P.032_N.43,KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,PN - PPBM,MOHD AZIZI ABU NAIM,MALE,51,
P.032_N.44,KELANTAN,P.032,GUA MUSANG,N.44,PALOH,PN - PPBM,DATO SHAARI,MALE,61,
P.032_N.45,KELANTAN,P.032,GUA MUSANG,N.45,GALAS,BN - UMNO,ABE DIN,MALE,42,
P.033_N.01,TERENGGANU,P.033,BESUT,N.01,KUALA BESUT,PN - PAS,HAJI AZBI,MALE,54,
P.033_N.02,TERENGGANU,P.033,BESUT,N.02,KOTA PUTERA,PN - PAS,HJ KHUZ,MALE,51,
P.033_N.03,TERENGGANU,P.033,BESUT,N.03,JERTIH,PN - PAS,DR RIDUAN MOHAMAD NOR,MALE,52,
P.033_N.04,TERENGGANU,P.033,BESUT,N.04,HULU BESUT,PN - PPBM,MIE CHE HUSSIN,MALE,49,
P.034_N.05,TERENGGANU,P.034,SETIU,N.05,JABI,PN - PAS,DR. AZMAN,MALE,48,
P.034_N.06,TERENGGANU,P.034,SETIU,N.06,PERMAISURI,PN - PPBM,YUSOP MAJID,MALE,60,
P.034_N.07,TERENGGANU,P.034,SETIU,N.07,LANGKAP,PN - PAS,AZMI MAAROF,MALE,62,
P.034_N.08,TERENGGANU,P.034,SETIU,N.08,BATU RAKIT,PN - PAS,USTAZ MOHD SHAFIZI,MALE,39,
P.035_N.09,TERENGGANU,P.035,KUALA NERUS,N.09,TEPUH,PN - PAS,USTAZ HISHAMUDDIN,MALE,44,
P.035_N.10,TERENGGANU,P.035,KUALA NERUS,N.10,BULUH GADING,PN - PAS,USTAZ RIDZUAN HASHIM,MALE,51,
P.035_N.11,TERENGGANU,P.035,KUALA NERUS,N.11,SEBERANG TAKIR,PN - PPBM,USTAZ HAJI KHAZAN,MALE,54,
P.035_N.12,TERENGGANU,P.035,KUALA NERUS,N.12,BUKIT TUNGGAL,PN - PAS,HAJI ZAHARUDIN,MALE,55,
P.036_N.13,TERENGGANU,P.036,KUALA TERENGGANU,N.13,WAKAF MEMPELAM,PN - PAS,USTAZ WAN SUKAIRI,MALE,51,
P.036_N.14,TERENGGANU,P.036,KUALA TERENGGANU,N.14,BANDAR,PN - PAS,USTAZ AHMAD SHAH,MALE,55,
P.036_N.15,TERENGGANU,P.036,KUALA TERENGGANU,N.15,LADANG,PN - PAS,ZURAIDA MD NOOR,FEMALE,42,
P.036_N.16,TERENGGANU,P.036,KUALA TERENGGANU,N.16,BATU BURUK,PN - PAS,USTAZ KHALIL,MALE,46,
P.037_N.17,TERENGGANU,P.037,MARANG,N.17,ALUR LIMBAT,PN - PAS,USTAZ ARIFFIN,MALE,55,
P.037_N.18,TERENGGANU,P.037,MARANG,N.18,BUKIT PAYUNG,PN - PAS,USTAZ MOHD NOR,MALE,51,
P.037_N.19,TERENGGANU,P.037,MARANG,N.19,RU RENDANG,PN - PAS,DR SAM,MALE,52,
P.037_N.20,TERENGGANU,P.037,MARANG,N.20,PENGKALAN BERANGAN,PN - PAS,USTAZ SULAIMAN,MALE,47,
P.038_N.21,TERENGGANU,P.038,HULU TERENGGANU,N.21,TELEMUNG,PN - PPBM,CIKGU AWI,MALE,63,
P.038_N.22,TERENGGANU,P.038,HULU TERENGGANU,N.22,MANIR,PN - PAS,USTAZ HILMI,MALE,46,
P.038_N.23,TERENGGANU,P.038,HULU TERENGGANU,N.23,KUALA BERANG,PN - PAS,DR.MAMAD,MALE,66,
P.038_N.24,TERENGGANU,P.038,HULU TERENGGANU,N.24,AJIL,PN - PAS,USTAZ MALIAMAN KASSIM,MALE,60,
P.039_N.25,TERENGGANU,P.039,DUNGUN,N.25,BUKIT BESI,PN - PAS,HAJI GHAZALI,MALE,59,
P.039_N.26,TERENGGANU,P.039,DUNGUN,N.26,RANTAU ABANG,PN - PAS,USTAZ MOHD FADHLI,MALE,35,
P.039_N.27,TERENGGANU,P.039,DUNGUN,N.27,SURA,PN - PAS,DR DIN,MALE,34,
P.039_N.28,TERENGGANU,P.039,DUNGUN,N.28,PAKA,PN - PAS,DATO' USTAZ SAIFUL BAHRI,MALE,55,
P.040_N.29,TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,PN - PAS,IR HJ SAIFUL AZMI,MALE,46,
P.040_N.30,TERENGGANU,P.040,KEMAMAN,N.30,KIJAL,PN - PPBM,TOK LI,MALE,57,
P.040_N.31,TERENGGANU,P.040,KEMAMAN,N.31,CUKAI,PN - PAS,HAJI HANAFIAH MAT,MALE,62,
P.040_N.32,TERENGGANU,P.040,KEMAMAN,N.32,AIR PUTIH,PN - PAS,MOHD HAFIZ,MALE,45,
P.041_N. 01,PULAU PINANG,P.041,KEPALA BATAS,N. 01,PENAGA,PN - PAS,USTAZ YUSNI,MALE,49,
P.041_N. 02,PULAU PINANG,P.041,KEPALA BATAS,N. 02,BERTAM,BN - UMNO,DATO SRI REEZAL MERICAN BIN NAINA MERICAN,MALE,50,
P.041_N. 03,PULAU PINANG,P.041,KEPALA BATAS,N. 03,PINANG TUNGGAL,PN - PAS,BUKHORI GHAZALI,MALE,60,
P.042_N. 04,PULAU PINANG,P.042,TASEK GELUGOR,N. 04,PERMATANG BERANGAN,PN - PAS,PAKCIK SOBRI,MALE,58,
P.042_N. 05,PULAU PINANG,P.042,TASEK GELUGOR,N. 05,SUNGAI DUA,PN - PAS,USTAZ FAUZI,MALE,51,
P.042_N. 06,PULAU PINANG,P.042,TASEK GELUGOR,N. 06,TELOK AYER TAWAR,PN - PPBM,AZMI ALANG,MALE,58,
P.043_N. 07,PULAU PINANG,P.043,BAGAN,N. 07,SUNGAI PUYU,PH - DAP,PHEE SYN TZE,FEMALE,38,
P.043_N. 08,PULAU PINANG,P.043,BAGAN,N. 08,BAGAN JERMAL,PH - DAP,CHEE YEEH KEEN,MALE,41,
P.043_N. 09,PULAU PINANG,P.043,BAGAN,N. 09,BAGAN DALAM,PH - DAP,KUMARAN KRISHNAN @ CALVIN,MALE,45,
P.044_N. 10,PULAU PINANG,P.044,PERMATANG PAUH,N. 10,SEBERANG JAYA,PN - PPBM,IZHAR SHAH DATUK ARIF SHAH,MALE,30,
P.044_N. 11,PULAU PINANG,P.044,PERMATANG PAUH,N. 11,PERMATANG PASIR,PN - PAS,HAJI AMIR HAMZAH,MALE,58,
P.044_N. 12,PULAU PINANG,P.044,PERMATANG PAUH,N. 12,PENANTI,PN - PPBM,ZULKEFLI BIN BAKAR,MALE,62,
P.045_N. 13,PULAU PINANG,P.045,BUKIT MERTAJAM,N. 13,BERAPIT,PH - DAP,HENG LEE LEE,FEMALE,43,
P.045_N. 14,PULAU PINANG,P.045,BUKIT MERTAJAM,N. 14,MACHANG BUBUK,PH - PKR,LEE KHAI LOON,MALE,45,
P.045_N. 15,PULAU PINANG,P.045,BUKIT MERTAJAM,N. 15,PADANG LALANG,PH - DAP,GOOI ZI SEN,MALE,36,
P.046_N. 16,PULAU PINANG,P.046,BATU KAWAN,N. 16,PERAI,PH - DAP,SUNDARAJOO SOMU,MALE,61,
P.046_N. 17,PULAU PINANG,P.046,BATU KAWAN,N. 17,BUKIT TENGAH,PH - PKR,GOOI HSIAO-LEUNG,MALE,50,
P.046_N. 18,PULAU PINANG,P.046,BATU KAWAN,N. 18,BUKIT TAMBUN,PH - PKR,GOH CHOON AIK,MALE,49,
P.047_N. 19,PULAU PINANG,P.047,NIBONG TEBAL,N. 19,JAWI,PH - DAP,H'NG MOOI LYE,MALE,45,
P.047_N. 20,PULAU PINANG,P.047,NIBONG TEBAL,N. 20,SUNGAI BAKAP,PN - PAS,ABANG ZAM,MALE,54,
P.047_N. 21,PULAU PINANG,P.047,NIBONG TEBAL,N. 21,SUNGAI ACHEH,BN - UMNO,RASHIDI BIN ZINOL,MALE,52,
P.048_N. 22,PULAU PINANG,P.048,BUKIT BENDERA,N. 22,TANJONG BUNGA,PH - DAP,ZAIRIL KHIR JOHARI,MALE,40,
P.048_N. 23,PULAU PINANG,P.048,BUKIT BENDERA,N. 23,AIR PUTIH,PH - DAP,LIM GUAN ENG,MALE,62,
P.048_N. 24,PULAU PINANG,P.048,BUKIT BENDERA,N. 24,KEBUN BUNGA,PH - PKR,LEE BOON HENG,MALE,37,
P.048_N. 25,PULAU PINANG,P.048,BUKIT BENDERA,N. 25,PULAU TIKUS,PH - DAP,JOSHUA WOO SZE ZENG,MALE,41,
P.049_N. 26,PULAU PINANG,P.049,TANJONG,N. 26,PADANG KOTA,PH - DAP,CHOW KON YEOW,MALE,64,
P.049_N. 27,PULAU PINANG,P.049,TANJONG,N. 27,PENGKALAN KOTA,PH - DAP,WONG YUEE HARNG,MALE,34,
P.049_N. 28,PULAU PINANG,P.049,TANJONG,N. 28,KOMTAR,PH - DAP,TEH LAI HENG,MALE,42,
P.050_N. 29,PULAU PINANG,P.050,JELUTONG,N. 29,DATOK KERAMAT,PH - DAP,JAGDEEP SINGH DEO A/L KARPAL SINGH,MALE,52,
P.050_N. 30,PULAU PINANG,P.050,JELUTONG,N. 30,SUNGAI PINANG,PH - DAP,LIM SIEW KHIM,FEMALE,52,
P.050_N. 31,PULAU PINANG,P.050,JELUTONG,N. 31,BATU LANCANG,PH - DAP,ONG AH TEONG,MALE,53,
P.051_N. 32,PULAU PINANG,P.051,BUKIT GELUGOR,N. 32,SERI DELIMA,PH - DAP,CONNIE TAN HOOI PENG,FEMALE,32,
P.051_N. 33,PULAU PINANG,P.051,BUKIT GELUGOR,N. 33,AIR ITAM,PH - DAP,JOSEPH NG SOON SIANG,MALE,44,
P.051_N. 34,PULAU PINANG,P.051,BUKIT GELUGOR,N. 34,PAYA TERUBONG,PH - DAP,WONG HON WAI,MALE,50,
P.052_N. 35,PULAU PINANG,P.052,BAYAN BARU,N. 35,BATU UBAN,PH - PKR,A.KUMARESAN,MALE,35,
P.052_N. 36,PULAU PINANG,P.052,BAYAN BARU,N. 36,PANTAI JEREJAK,PH - PKR,FAHMI ZAINOL,MALE,31,
P.052_N. 37,PULAU PINANG,P.052,BAYAN BARU,N. 37,BATU MAUNG,PH - PKR,PROF. DATO' DR. MOHAMAD,MALE,48,
P.053_N. 38,PULAU PINANG,P.053,BALIK PULAU,N. 38,BAYAN LEPAS,PH - AMANAH,AZRUL MAHATHIR BIN AZIZ,MALE,46,
P.053_N. 39,PULAU PINANG,P.053,BALIK PULAU,N. 39,PULAU BETONG,PN - PAS,HJ. SHUKOR,MALE,60,
P.053_N. 40,PULAU PINANG,P.053,BALIK PULAU,N. 40,TELOK BAHANG,PN - PPBM,KOLONEL MUHAMAD BIN KASIM (B),MALE,62,
P.092_N. 01,SELANGOR,P.092,SABAK BERNAM,N. 01,SUNGAI AIR TAWAR,BN - UMNO,DATUK HAJI RIZAM ISMAIL,MALE,42,
P.092_N. 02,SELANGOR,P.092,SABAK BERNAM,N. 02,SABAK,PN - PAS,USTAZ SALLEHEN MUKHYI,MALE,56,
P.093_N. 03,SELANGOR,P.093,SUNGAI BESAR,N. 03,SUNGAI PANJANG,PN - PAS,USTAZ RAZALI SAARI,MALE,41,
P.093_N. 04,SELANGOR,P.093,SUNGAI BESAR,N. 04,SEKINCHAN,PH - DAP,NG SUEE LIM,MALE,53,
P.094_N. 05,SELANGOR,P.094,HULU SELANGOR,N. 05,HULU BERNAM,PN - PAS,MUIZ MAHYUDDIN,MALE,35,
P.094_N. 06,SELANGOR,P.094,HULU SELANGOR,N. 06,KUALA KUBU BAHARU,PH - DAP,LEE KEE HIONG,FEMALE,57,
P.094_N. 07,SELANGOR,P.094,HULU SELANGOR,N. 07,BATANG KALI,PN - PPBM,MUHAIMIN HARITH,MALE,40,
P.095_N. 08,SELANGOR,P.095,TANJONG KARANG,N. 08,SUNGAI BURONG,PN - PAS,DR ZAMRI MANTOP,MALE,44,
P.095_N. 09,SELANGOR,P.095,TANJONG KARANG,N. 09,PERMATANG,PN - PPBM,NURUL NOH OMAR,FEMALE,34,
P.096_N. 10,SELANGOR,P.096,KUALA SELANGOR,N. 10,BUKIT MELAWATI,PN - PPBM,HJ. AZLEY YAHYA,MALE,40,
P.096_N. 11,SELANGOR,P.096,KUALA SELANGOR,N. 11,IJOK,PN - PAS,JEFRI BIN MEJAN,MALE,44,
P.096_N. 12,SELANGOR,P.096,KUALA SELANGOR,N. 12,JERAM,PN - PPBM,HARRISON BIN HASSAN,MALE,49,
P.097_N. 13,SELANGOR,P.097,SELAYANG,N. 13,KUANG,PN - PPBM,MOHD RAFIQ ABDULLAH,MALE,47,
P.097_N. 14,SELANGOR,P.097,SELAYANG,N. 14,RAWANG,PH - PKR,CHUA WEI KIAT,MALE,34,
P.097_N. 15,SELANGOR,P.097,SELAYANG,N. 15,TAMAN TEMPLER,PH - AMANAH,ANFAAL SAARI,FEMALE,43,
P.098_N. 16,SELANGOR,P.098,GOMBAK,N. 16,SUNGAI TUA,PH - PKR,AMIRUDIN SHARI,MALE,43,
P.098_N. 17,SELANGOR,P.098,GOMBAK,N. 17,GOMBAK SETIA,PN - PPBM,HILMAN IDHAM,MALE,34,
P.098_N. 18,SELANGOR,P.098,GOMBAK,N. 18,HULU KELANG,PN - PPBM,AZMIN ALI,MALE,58,
P.099_N. 19,SELANGOR,P.099,AMPANG,N. 19,BUKIT ANTARABANGSA,PH - PKR,KAMRI KAMARUDDIN,MALE,54,
P.099_N. 20,SELANGOR,P.099,AMPANG,N. 20,LEMBAH JAYA,PH - PKR,SYED AHMAD @ ALTIMET,MALE,44,
P.100_N. 21,SELANGOR,P.100,PANDAN,N. 21,PANDAN INDAH,PH - AMANAH,IZHAM HASHIM,MALE,61,
P.100_N. 22,SELANGOR,P.100,PANDAN,N. 22,TERATAI,PH - DAP,YEW JIA HAUR,MALE,44,
P.101_N. 23,SELANGOR,P.101,HULU LANGAT,N. 23,DUSUN TUA,BN - UMNO,JOHAN ABD AZIZ,MALE,56,
P.101_N. 24,SELANGOR,P.101,HULU LANGAT,N. 24,SEMENYIH,PN - PAS,NUSHI MAHFODZ,MALE,47,
P.102_N. 25,SELANGOR,P.102,BANGI,N. 25,KAJANG,PH - PKR,DAVID CHEONG,MALE,58,
P.102_N. 26,SELANGOR,P.102,BANGI,N. 26,SUNGAI RAMAL,PN - PAS,SHAFIE NGAH,MALE,56,
P.102_N. 27,SELANGOR,P.102,BANGI,N. 27,BALAKONG,PH - DAP,WAYNE ONG CHUN WEI,MALE,34,
P.103_N. 28,SELANGOR,P.103,PUCHONG,N. 28,SERI KEMBANGAN,PH - DAP,WONG SIEW KI,FEMALE,37,
P.103_N. 29,SELANGOR,P.103,PUCHONG,N. 29,SERI SERDANG,PH - AMANAH,ABBAS AZMI,MALE,43,
P.104_N. 30,SELANGOR,P.104,SUBANG,N. 30,KINRARA,PH - DAP,NG SZE HAN,MALE,51,
P.104_N. 31,SELANGOR,P.104,SUBANG,N. 31,SUBANG JAYA,PH - DAP,MICHELLE NG MEI SZE,FEMALE,33,
P.105_N. 32,SELANGOR,P.105,PETALING JAYA,N. 32,SERI SETIA,PH - PKR,DR.FAHMI NGAH,MALE,48,
P.105_N. 33,SELANGOR,P.105,PETALING JAYA,N. 33,TAMAN MEDAN,PN - PPBM,DR. AFIF BAHARDIN,MALE,38,
P.105_N. 34,SELANGOR,P.105,PETALING JAYA,N. 34,BUKIT GASING,PH - DAP,RAJIV RISHYAKARAN,MALE,41,
P.106_N. 35,SELANGOR,P.106,DAMANSARA,N. 35,KAMPUNG TUNKU,PH - DAP,LIM YI WEI,FEMALE,33,
P.106_N. 36,SELANGOR,P.106,DAMANSARA,N. 36,BANDAR UTAMA,PH - DAP,JAMALIAH BINTI JAMALUDDIN,FEMALE,34,
P.106_N. 37,SELANGOR,P.106,DAMANSARA,N. 37,BUKIT LANJAN,PH - PKR,PEI LING,FEMALE,31,
P.107_N. 38,SELANGOR,P.107,SUNGAI BULOH,N. 38,PAYA JARAS,PN - PAS,DATO' DR HALIM TAMURI,MALE,55,
P.107_N. 39,SELANGOR,P.107,SUNGAI BULOH,N. 39,KOTA DAMANSARA,PH - PKR,IZUAN KASIM,MALE,32,
P.108_N. 40,SELANGOR,P.108,SHAH ALAM,N. 40,KOTA ANGGERIK,PH - PKR,NAJWAN HALIMI,MALE,38,
P.108_N. 41,SELANGOR,P.108,SHAH ALAM,N. 41,BATU TIGA,PH - AMANAH,DANIAL AL-RASHID,MALE,36,
P.109_N. 42,SELANGOR,P.109,KAPAR,N. 42,MERU,PH - AMANAH,MARIAM ABDUL RASHID,FEMALE,62,
P.109_N. 43,SELANGOR,P.109,KAPAR,N. 43,SEMENTA,PN - PAS,USTAZ NAJHAN SALLEH,MALE,51,
