UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2)VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,"OTHER PARTY (1) CANDIDATE LOST DEPOSIT
",OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) CANDIDATE VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.008_N.11,KEDAH,P.008,POKOK SENA,N.11,DERGA,PR-DAP,,"26,695","1,156",82.57%,"22,042",89,332,"21,621",GERAKAN,DR. CHEAH SOON HAI,MALE,,"9,202",,DAP,TAN KOK YEW,MALE,46,"10,358",,,,,,,,BERJASA,USTAZ HAJI ABDUL FISOL BIN MOHD ISA,MALE,54,"2,061",LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.009_N.12,KEDAH,P.009,ALOR STAR,N.12,BAKAR BATA,BN-UMNO,,"28,186",895,84.31%,"23,763",105,363,"23,295",UMNO,DATO’ PADUKA AHMAD BASHAH MD HANIPAH,MALE,63,"11,999",,PKR,EEKMAL AHMAD,MALE,33,"11,104",,,,,,,,BERSAMA,JAWAHAR RAJA BIN HJ ABDUL WAHID,MALE,,192,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.009_N.13,KEDAH,P.009,ALOR STAR,N.13,KOTA DARUL AMAN,PR-DAP,,"15,466","2,626",80.47%,"12,446",30,202,"12,214",MCA,LOH GIM HOOI,MALE,55,"4,761",,DAP,KB TEOH,MALE,,"7,387",,,,,,,,,,,,,,,,,,,,INDEPENDENT - TELEPHONE,LIEW KARD SEONG,MALE,,39,LOST DEPOSIT,INDEPENDENT - ELEPHANT,A.J. GOPALA,MALE,,27,LOST DEPOSIT,,,,,,
P.009_N.14,KEDAH,P.009,ALOR STAR,N.14,ALOR MENGKUDU,PR-PAS,,"25,357","1,865",85.61%,"21,707",68,273,"21,366",UMNO,SHARIFAH MAZNAH BT. SYED KASSIM BARAKBAH,FEMALE,61,"9,588",,PAS,AHMAD BIN YAHAYA,MALE,38,"11,453",,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,UST. FADZIL BIN HANAFI. JP,MALE,53,325,LOST DEPOSIT,,,,,,,,,,,,
P.010_N.15,KEDAH,P.010,KUALA KEDAH,N.15,ANAK BUKIT,PR-PAS,,"28,981","2,806",87.25%,"25,286",72,291,"24,923",UMNO,HASHIM BIN JAHAYA,MALE,51,"11,016",,PAS,DATO’ IR. HAJI AMIRUDDIN BIN HAMZAH,MALE,51,"13,822",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ABD SAMAT BIN CHE NOH,MALE,,85,LOST DEPOSIT,,,,,,,,,,,,
P.010_N.16,KEDAH,P.010,KUALA KEDAH,N.16,KUBANG ROTAN,PR-PAS,,"34,559","1,044",85.07%,"29,399",82,335,"28,982",UMNO,DATO’ LATT SHARIMAN BIN ABDULLAH,MALE,45,"13,969",,PAS,MOHD NASIR BIN MUSTAFA,MALE,45,"15,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.010_N.17,KEDAH,P.010,KUALA KEDAH,N.17,PENGKALAN KUNDOR,PR-PAS,,"31,788","3,884",86.72%,"27,568",86,314,"27,168",UMNO,NOOR HASITA BINTI MAT ISA,FEMALE,45,"11,642",,PAS,DATO’ IR. HAJI PHAHROLRAZI BIN MOHD ZAWAWI,MALE,54,"15,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.011_N.18,KEDAH,P.011,PENDANG,N.18,TOKAI,PR-PAS,,"34,623","5,833",88.82%,"30,751",74,364,"30,313",UMNO,NAJMUDDIN BIN DARUS,FEMALE,,"12,172",,PAS,DATO’ TAULAN RASUL,MALE,71,"18,005",,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,ABU BAKAR BIN ABDULLAH,MALE,,136,LOST DEPOSIT,,,,,,,,,,,,
P.011_N.19,KEDAH,P.011,PENDANG,N.19,SUNGAI TIANG,BN-UMNO,,"35,512","6,994",89.62%,"31,827",55,577,"31,195",UMNO,SURAYA BINTI YAACOB,FEMALE,44,"18,929",,PAS,FADZIL BAHARUM,MALE,43,"11,935",,,,,,,,KITA,CHAREAN A/L ISEN,MALE,35,139,LOST DEPOSIT,,,,,,,INDEPENDENT - BIRD,ROSLI BIN OMAR,MALE,,192,LOST DEPOSIT,,,,,,,,,,,,
P.012_N.20,KEDAH,P.012,JERAI,N.20,SUNGAI LIMAU,PR-PAS,,"27,287","2,774",89.44%,"24,406",57,351,"23,998",UMNO,AR MOHD FAZILLAH BIN MOHD ALI,MALE,55,"10,520",,PAS,DATO’ SERI DIRAJA USTAZ HJ AZIZAN BIN ABDUL RAZAK,MALE,69,"13,294",,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,CIKGU SOBRI AHMAD,MALE,,100,LOST DEPOSIT,INDEPENDENT - HIBISCUS,ABDULLAH BIN HASHIM,MALE,,84,LOST DEPOSIT,,,,,,
P.012_N.21,KEDAH,P.012,JERAI,N.21,GUAR CHEMPEDAK,BN-UMNO,,"21,086","2,298",86.76%,"18,295",51,226,"18,018",UMNO,DATO’ DR. KU ABD. RAHMAN BIN KU ISMAIL,MALE,61,"10,158",,PAS,MUSODDAK BIN HJ AHMAD,MALE,44,"7,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.012_N.22,KEDAH,P.012,JERAI,N.22,GURUN,BN-MCA,,"26,037","1,296",84.79%,"22,077",59,492,"21,526",MCA,DOKTOR LEONG YONG KONG,MALE,53,"11,411",,PKR,SALMA ISMAIL,FEMALE,,"10,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013_N.23,KEDAH,P.013,SIK,N.23,BELANTEK,BN-UMNO,,"21,200",842,90.14%,"19,109",46,261,"18,802",UMNO,DATUK MOHD TAJUDIN ABDULLAH,MALE,49,"9,822",,PAS,USTAZ BAKILANI,MALE,43,"8,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013_N.24,KEDAH,P.013,SIK,N.24,JENERI,BN-UMNO,,"25,586","2,060",89.77%,"22,968",41,351,"22,576",UMNO,MAHADZIR BIN ABDUL HAMID,MALE,38,"12,318",,PAS,USTAZ TARMIZI SULAIMAN,MALE,37,"10,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.014_N.25,KEDAH,P.014,MERBOK,N.25,BUKIT SELAMBAU,PR-PKR,,"49,087",530,85.61%,"42,023",125,839,"41,059",MIC,M. L. MARAN,MALE,58,"19,561",,PKR,DR. R KRISHNAMOORTHY,MALE,,"20,091",,,,,,,,KITA,KAMAL NASSER,MALE,50,388,LOST DEPOSIT,,,,,,,INDEPENDENT - HIBISCUS,SYED OMAR BIN SYED MAHAMUD,MALE,,936,LOST DEPOSIT,INDEPENDENT - KEY,THIVAGARAN A/L SUPRAMANY,MALE,,83,LOST DEPOSIT,,,,,,
P.014_N.26,KEDAH,P.014,MERBOK,N.26,TANJONG DAWAI,BN-UMNO,,"36,821","3,780",88.26%,"32,497",95,546,"31,856",UMNO,DATO’ HAJI TAJUL URUS BIN MAT ZAIN,MALE,61,"17,818",,PAS,USTAZ AHMAD FAKHRUDDIN BIN FAKHRURAZI,MALE,42,"14,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.015_N.27,KEDAH,P.015,SUNGAI PETANI,N.27,PANTAI MERDEKA,BN-UMNO,,"33,282","1,707",89.43%,"29,763",54,314,"29,395",UMNO,HAJI ALI YAHAYA,MALE,55,"15,393",,PAS,HJ. ABDULLAH BIN JUSOH,MALE,64,"13,686",,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,MOHD YUSUF BIN LAZIM,MALE,,316,LOST DEPOSIT,,,,,,,,,,,,
P.015_N.28,KEDAH,P.015,SUNGAI PETANI,N.28,BAKAR ARANG,PR-PKR,,"34,743","6,534",85.25%,"29,619",69,366,"29,184",MCA,DR LEE YEAN WANG,MALE,40,"11,223",,PKR,SIMON OOI,MALE,29,"17,757",,,,,,,,,,,,,,,,,,,,INDEPENDENT - MOTORCYCLE,ONG KAH SOON,MALE,,204,LOST DEPOSIT,,,,,,,,,,,,
P.015_N.29,KEDAH,P.015,SUNGAI PETANI,N.29,SIDAM,PR-PKR,,"25,151","5,964",86.05%,"21,642",129,245,"21,268",GERAKAN,BEE SIEONG HENG,MALE,47,"7,225",,PKR,DR ROBERT LING,MALE,40,"13,189",,,,,,,,KITA,VINCENT CV UH,MALE,45,42,LOST DEPOSIT,,,,,,,INDEPENDENT - BIRD,TAN HOCK HUAT,MALE,,197,LOST DEPOSIT,INDEPENDENT - ELEPHANT,OOI BENG KOOI,MALE,,268,LOST DEPOSIT,INDEPENDENT - HIBISCUS,ZAMIL BIN IBRAHIM,MALE,,347,LOST DEPOSIT
P.016_N.30,KEDAH,P.016,BALING,N.30,BAYU,BN-UMNO,,"34,570","4,132",89.24%,"30,850",72,430,"30,348",UMNO,DATUK AZMI CHE HUSAIN,MALE,52,"17,240",,PAS,USTAZ MAHMUD YAAKOB,MALE,,"13,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.016_N.31,KEDAH,P.016,BALING,N.31,KUPANG,BN-UMNO,,"30,511","1,924",89.61%,"27,342",72,340,"26,930",UMNO,HARUN BIN ABDUL AZIZ,MALE,48,"14,427",,PAS,CIKGU JOHARI BIN ABDULLAH,MALE,47,"12,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.016_N.32,KEDAH,P.016,BALING,N.32,KUALA KETIL,PR-PAS,,"28,087","1,154",88.71%,"24,917",59,369,"24,489",UMNO,MOHD KHAIRUL AZHAR BIN ABDULLAH,MALE,,"11,615",,PAS,CIKGU MD. ZUKI BIN YUSOF,MALE,55,"12,769",,,,,,,,KITA,DATUK DR. KRIS,MALE,,105,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.017_N.33,KEDAH,P.017,PADANG SERAI,N.33,MERBAU PULAS,PR-PAS,,"33,597",633,87.36%,"29,349",69,503,"28,777",UMNO,MARLIA BINTI ABD LATIFF,FEMALE,60,"14,072",,PAS,USTAZAH SITI ASHAH,FEMALE,51,"14,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.017_N.34,KEDAH,P.017,PADANG SERAI,N.34,LUNAS,PR-PKR,,"40,498","9,084",87.00%,"35,235",110,392,"34,733",MIC,S. ANANTHAN,MALE,46,"12,586",,PKR,CIKGU AZMAN,MALE,41,"21,670",,,,,,,,KITA,PREBA,MALE,,71,LOST DEPOSIT,,,,,,,INDEPENDENT - HIBISCUS,R. VASANTHI,FEMALE,,406,LOST DEPOSIT,,,,,,,,,,,,
P.018_N.35,KEDAH,P.018,KULIM-BANDAR BAHARU,N.35,KULIM,BN-MCA,,"34,404",643,86.13%,"29,632",113,496,"29,023",MCA,CHUA THIONG GEE,MALE,41,"14,384",,PKR,CHU MAW NIAN,MALE,41,"13,741",,,,,,,,BERJASA,MOHD JUNIP BIN HUZAYIN,MALE,,898,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.018_N.36,KEDAH,P.018,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,BN-UMNO,,"26,506","2,069",87.28%,"23,134",122,359,"22,653",UMNO,NORSABRINA MOHD NOOR,FEMALE,34,"12,361",,PAS,MOHD KHARI BIN MOHD SALLEH,MALE,42,"10,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
