UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,"OTHER PARTY (2) CANDIDATE LOST DEPOSIT
",INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.035_N.11,TERENGGANU,P.035,KUALA NERUS,N.11,SEBERANG TAKIR,BN-UMNO,,"16,212","1,510",87.95%,"14,259",30,204,"14,025",UMNO,CIKGU RAZIF,MALE,48,"7,731",,PAS,ZAKARIA BIN DAGANG,MALE,53,"6,221",,PKR,AHMAD NAZRI,MALE,38,73,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.12,TERENGGANU,P.035,KUALA NERUS,N.12,BUKIT TUNGGAL,PR-PAS,,"14,743",652,89.23%,"13,155",50,155,"12,950",UMNO,ISMAIL BIN NIK,MALE,67,"6,149",,PAS,DR HAJI ALIAS RAZAK,MALE,54,"6,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.13,TERENGGANU,P.036,KUALA TERENGGANU,N.13,WAKAF MEMPELAM,PR-PAS,,"25,240","2,986",88.47%,"22,331",67,220,"22,044",UMNO,WAN MAHYUDIN BIN W NGAH,MALE,51,"9,529",,PAS,HAJI MOHD ABDUL WAHID ENDUT,MALE,56,"12,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.14,TERENGGANU,P.036,KUALA TERENGGANU,N.14,BANDAR,PR-PKR,,"20,390","2,159",83.29%,"16,983",40,276,"16,667",MCA,TOH CHIN YAW,MALE,58,"7,254",,PKR,AZAN ISMAIL,MALE,48,"9,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.15,TERENGGANU,P.036,KUALA TERENGGANU,N.15,LADANG,PR-PAS,,"20,089",924,86.74%,"17,425",52,165,"17,208",UMNO,DATO’ WAN AHMAD FARID WAN SALLEH,MALE,51,"8,142",,PAS,DATO’ TENGKU HASSAN,MALE,62,"9,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.16,TERENGGANU,P.036,KUALA TERENGGANU,N.16,BATU BURUK,PR-PAS,,"28,687","2,577",88.48%,"25,383",67,231,"25,085",UMNO,DATO’ CHE MAT JUSOH,MALE,64,"11,254",,PAS,DR SYED AZMAN,MALE,52,"13,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037_N.17,TERENGGANU,P.037,MARANG,N.17,ALUR LIMBAT,PR-PAS,,"23,983",645,89.19%,"21,391",30,244,"21,117",UMNO,HJ. ALIAS BIN ABDULLAH,MALE,49,"10,199",,PAS,USTAZ ARIFFIN DERAMAN,MALE,45,"10,844",,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOE,JA’AFAR BIN JAMBOL,MALE,,74,LOST DEPOSIT,,,,,,
P.037_N.18,TERENGGANU,P.037,MARANG,N.18,BUKIT PAYUNG,PR-PAS,,"20,063",613,91.04%,"18,265",49,145,"18,071",UMNO,ZAIDI BIN MUDA,MALE,39,"8,729",,PAS,USTAZ MOHD NOR HAMZAH,MALE,36,"9,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037_N.19,TERENGGANU,P.037,MARANG,N.19,RU RENDANG,PR-PAS,,"22,662","2,819",89.78%,"20,347",49,181,"20,117",UMNO,HJ. NIK DIR BIN NIK WAN KU,MALE,56,"8,649",,PAS,DATO’ SERI TUAN GURU HAJI ABDUL HADI AWANG,MALE,66,"11,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037_N.20,TERENGGANU,P.037,MARANG,N.20,PENGKALAN BERANGAN,BN-UMNO,,"24,087","1,848",90.61%,"21,826",50,270,"21,506",UMNO,A. LATIFF BIN AWANG,MALE,53,"11,677",,PAS,USTAZ SULAIMAN SULONG,MALE,37,"9,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038_N.21,TERENGGANU,P.038,HULU TERENGGANU,N.21,TELEMUNG,BN-UMNO,,"15,742","6,864",88.90%,"13,995",31,304,"13,660",UMNO,HAJI ROZI HAJI MAMAT,MALE,42,"10,262",,PKR,NARAWI BIN EMBONG,MALE,,"3,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038_N.22,TERENGGANU,P.038,HULU TERENGGANU,N.22,MANIR,PR-PAS,,"14,637",588,91.16%,"13,343",26,159,"13,158",UMNO,YUSOF AWANG HITAM,MALE,50,"6,285",,PAS,USTAZ HILMI HARUN,MALE,36,"6,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038_N.23,TERENGGANU,P.038,HULU TERENGGANU,N.23,KUALA BERANG,BN-UMNO,,"15,330",449,89.35%,"13,697",32,280,"13,385",UMNO,DATO’ HJ. TENGKU PUTERA BIN TENGKU AWANG,MALE,54,"6,917",,PAS,HAJI MUHYIDIN HAJI ABD RASHID,MALE,52,"6,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038_N.24,TERENGGANU,P.038,HULU TERENGGANU,N.24,AJIL,BN-UMNO,,"17,834","2,782",87.47%,"15,599",46,305,"15,248",UMNO,CIKGU GHAZALI TAIB,MALE,51,"8,680",,PAS,USTAZ MOHD RAZKI ALIAS,MALE,41,"5,898",,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,M. NUHAIRI,MALE,,670,LOST DEPOSIT,,,,,,
P.039_N.25,TERENGGANU,P.039,DUNGUN,N.25,BUKIT BESI,BN-UMNO,,"13,387","2,558",87.26%,"11,681",33,222,"11,426",UMNO,ROSLEE DAUD,MALE,53,"6,966",,PAS,USTAZ ROSLAN ISMAIL,MALE,,"4,408",,PKR,MOHD SHAMSUL,MALE,28,52,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.039_N.26,TERENGGANU,P.039,DUNGUN,N.26,RANTAU ABANG,PR-PAS,,"20,618",141,88.11%,"18,166",41,248,"17,877",UMNO,DATUK ZA’ABAR BIN DATO’ MOHD ADIB,MALE,59,"8,823",,PAS,CIKGU ALIAS,MALE,62,"8,964",,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,MAZLAN BIN HARUN,MALE,,90,LOST DEPOSIT,,,,,,
P.039_N.27,TERENGGANU,P.039,DUNGUN,N.27,SURA,PR-PAS,,"17,705","2,957",85.43%,"15,126",38,141,"14,947",UMNO,CIKGU YA ALI,MALE,57,"5,995",,PAS,CIKGU WAN HAPANDI,MALE,57,"8,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.039_N.28,TERENGGANU,P.039,DUNGUN,N.28,PAKA,PR-PAS,,"26,464","1,287",87.78%,"23,231",40,202,"22,989",UMNO,DATUK MATULIDI,MALE,56,"10,851",,PAS,USTAZ SAIFUL BAHRI MAMAT,MALE,45,"12,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.040_N.29,TERENGGANU,P.040,KEMAMAN,N.29,KEMASIK,BN-UMNO,,"18,847",898,87.26%,"16,445",47,198,"16,200",UMNO,IR ROSLI BIN OTHMAN,MALE,56,"8,230",,PAS,USTAZ ALIAS ABD HAMID,MALE,47,"7,332",,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,HAJI PELI,MALE,,638,LOST DEPOSIT,,,,,,
P.040_N.30,TERENGGANU,P.040,KEMAMAN,N.30,KIJAL,BN-UMNO,,"19,269","4,204",89.10%,"17,168",31,193,"16,944",UMNO,DATO’ SERI HAJI AHMAD BIN SAID,MALE,56,"10,574",,PAS,USTAZ HAZRI JUSOH,MALE,43,"6,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.040_N.31,TERENGGANU,P.040,KEMAMAN,N.31,CUKAI,PR-PAS,,"26,715","2,446",85.17%,"22,753",46,239,"22,468",UMNO,DATUK HJ WAN AHMAD NIZAM BIN WAN ABDUL HAMID,MALE,47,"10,011",,PAS,HAJI HANAFIAH BIN MAT,MALE,48,"12,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.040_N.32,TERENGGANU,P.040,KEMAMAN,N.32,AIR PUTIH,BN-UMNO,,"27,111","3,633",87.79%,"23,802",72,317,"23,413",UMNO,WAN ABDUL HAKIM BIN WAN MOKHTAR,MALE,45,"13,523",,PAS,CIKGU RAZAK IBRAHIM,MALE,59,"9,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
