UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.018_N.35,KEDAH,P.018,KULIM-BANDAR BAHARU,N.35,KULIM,BN - MCA,,34404,643,86.13,29632,113,496,29023,MCA,CHUA THIONG GEE,MALE,41,14384,,PKR,CHU MAW NIAN,MALE,41,13741,,,,,,,,BERJASA,MOHD JUNIP BIN HUZAYIN,MALE,,898,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.018_N.36,KEDAH,P.018,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,BN - UMNO,,26506,2069,87.28,23134,122,359,22653,UMNO,NORSABRINA MOHD NOOR,FEMALE,34,12361,,,,,,,,PAS,MOHD KHARI BIN MOHD SALLEH,MALE,42,10292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019_N.01,KELANTAN,P.019,TUMPAT,N.01,PENGKALAN KUBOR,BN - UMNO,,24097,1736,79.08,19055,34,344,18677,UMNO,DATO HAJI DI,MALE,56,10174,,PKR,PROF. MADYA SAHARUN,MALE,,8438,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,IZAT BUKHARY,MALE,46,65,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.019_N.02,KELANTAN,P.019,TUMPAT,N.02,KELABORAN,PR - PAS,,22180,2103,83.10,18431,38,300,18093,UMNO,WAN NAPI,MALE,51,7995,,,,,,,,PAS,ZAKI HJ IBRAHIM,MALE,46,10098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019_N.03,KELANTAN,P.019,TUMPAT,N.03,PASIR PEKAN,PR - PAS,,26854,5644,86.05,23107,54,289,22764,UMNO,KAK CHIK,FEMALE,43,8560,,,,,,,,PAS,USTAZ MAD,MALE,53,14204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019_N.04,KELANTAN,P.019,TUMPAT,N.04,WAKAF BHARU,PR - PAS,,25501,978,87.72,22369,60,257,22052,UMNO,DATUK ROSDI,MALE,50,10537,,,,,,,,PAS,DATO' HJ CHE LAH MAT NAWI,MALE,53,11515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020_N.05,KELANTAN,P.020,PENGKALAN CHEPA,N.05,KIJANG,PR - PAS,,19329,5143,84.77,16385,60,204,16121,UMNO,HJ. ZALUZI,MALE,48,5489,,,,,,,,PAS,KAK UBAI,FEMALE,55,10632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020_N.06,KELANTAN,P.020,PENGKALAN CHEPA,N.06,CHEMPAKA,PR - PAS,,21364,6500,86.19,18413,56,237,18120,UMNO,TOK GAWO MAN,MALE,49,5810,,,,,,,,PAS,TUAN GURU DATO' HAJI NIK ABDUL AZIZ,MALE,82,12310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020_N.07,KELANTAN,P.020,PENGKALAN CHEPA,N.07,PANCHOR,PR - PAS,,23716,5036,85.12,20187,80,209,19898,UMNO,CHE ROSLI,MALE,50,7431,,,,,,,,PAS,DATO' NIK AMAR,MALE,54,12467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.021_N.08,KELANTAN,P.021,KOTA BHARU,N.08,TANJONG MAS,PR - PAS,,27514,8521,81.82,22512,61,198,22253,UMNO,KANIDY OMAR,MALE,52,6866,,,,,,,,PAS,KAK ANI,FEMALE,49,15387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.021_N.09,KELANTAN,P.021,KOTA BHARU,N.09,KOTA LAMA,PR - PAS,,28248,6618,79.29,22399,52,275,22072,MCA,TAN KEN TEN,MALE,58,7651,,,,,,,,PAS,DATO HJ. ANUAR TAN,MALE,53,14269,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,MOHD ZAKIMAN BIN ABU BAKAR,MALE,,152,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.021_N.10,KELANTAN,P.021,KOTA BHARU,N.10,BUNUT PAYONG,PR - PAS,,25506,5792,83.77,21366,75,189,21102,UMNO,USTAZ MOHD. FAKHRURAZI,MALE,,7655,,,,,,,,PAS,DR RAMLI,MALE,49,13447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.022_N.11,KELANTAN,P.022,PASIR MAS,N.11,TENDONG,PR - PAS,,21281,978,85.28,18148,65,267,17816,UMNO,DATUK HJ HANAFI HJ MAMAT,MALE,59,8419,,,,,,,,PAS,ROZI MUHAMAD,MALE,41,9397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.022_N.12,KELANTAN,P.022,PASIR MAS,N.12,PENGKALAN PASIR,PR - PAS,,27327,4715,82.17,22454,95,278,22081,UMNO,UST TUAN ANUWA,MALE,,8683,,,,,,,,PAS,HJ. HANIFA AHMAD,MALE,67,13398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.022_N.13,KELANTAN,P.022,PASIR MAS,N.13,CHETOK,PR - PAS,,23357,1985,83.77,19566,91,304,19171,UMNO,AIMI HJ. JUSOH,MALE,,8593,,,,,,,,PAS,ABDUL HALIM BIN ABDUL RAHMAN,MALE,52,10578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.023_N.14,KELANTAN,P.023,RANTAU PANJANG,N.14,MERANTI,PR - PAS,,16528,3933,80.78,13352,47,194,13111,UMNO,USTAZ AFANDI,MALE,39,4589,,,,,,,,PAS,US DATO' HJ NASSURUDDIN HJ DAUD,MALE,48,8522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.023_N.15,KELANTAN,P.023,RANTAU PANJANG,N.15,GUAL PERIOK,PR - PAS,,21387,615,75.34,16114,41,240,15833,UMNO,DATO SHAARI,MALE,51,7609,,,,,,,,PAS,USTAZ MAT CIKGU AWANG,MALE,62,8224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.023_N.16,KELANTAN,P.023,RANTAU PANJANG,N.16,BUKIT TUKU,PR - PAS,,14988,879,83.19,12468,30,179,12259,UMNO,DATUK ZAIN,MALE,57,5690,,,,,,,,PAS,ABD. RASUL,MALE,50,6569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.024_N.17,KELANTAN,P.024,KUBANG KERIAN,N.17,SALOR,PR - PAS,,20011,3683,85.16,17042,67,196,16779,UMNO,DATUK NOORDIN,MALE,62,6548,,,,,,,,PAS,DATO HUSAM,MALE,54,10231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.024_N.18,KELANTAN,P.024,KUBANG KERIAN,N.18,PASIR TUMBOH,PR - PAS,,18518,4501,84.57,15661,48,170,15443,UMNO,USTAZ HJ. SYAMSUL AL HAFIZ,MALE,,5471,,,,,,,,PAS,UST. MAN,MALE,50,9972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.024_N.19,KELANTAN,P.024,KUBANG KERIAN,N.19,DEMIT,PR - PAS,,26861,8581,83.41,22405,95,287,22023,UMNO,WAN MOHD NAZI BIN WAN HAMAT,MALE,,6721,,,,,,,,PAS,HAJJAH MUMTAZ,FEMALE,41,15302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.025_N.20,KELANTAN,P.025,BACHOK,N.20,TAWANG,PR - PAS,,27585,3112,88.36,24374,71,289,24014,UMNO,HAJI ZAIN,MALE,48,10451,,,,,,,,PAS,USTAZ HASSAN,MALE,58,13563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.025_N.21,KELANTAN,P.025,BACHOK,N.21,PERUPOK,PR - PAS,,26913,1488,87.92,23662,73,337,23252,UMNO,DATO' MUHAMMAD ZAIDI BIN SIDEK,MALE,45,10882,,,,,,,,PAS,HAJI HUZAIMY,MALE,48,12370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.025_N.22,KELANTAN,P.025,BACHOK,N.22,JELAWAT,PR - PAS,,27068,102,87.76,23756,65,349,23342,UMNO,DATO DR ILIAS BIN HUSAIN,MALE,62,11620,,,,,,,,PAS,CIKGU AZIZ,MALE,61,11722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.026_N.23,KELANTAN,P.026,KETEREH,N.23,MELOR,PR - PAS,,22094,2489,86.06,19014,51,272,18691,UMNO,CIKGU MAN,MALE,54,8101,,,,,,,,PAS,DR. YUSNAN,MALE,45,10590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.026_N.24,KELANTAN,P.026,KETEREH,N.24,KADOK,PR - PAS,,17107,3097,86.01,14713,59,245,14409,UMNO,HJ. BASRI,MALE,,5656,,,,,,,,PAS,HJ. AZAMI,MALE,56,8753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.026_N.25,KELANTAN,P.026,KETEREH,N.25,KOK LANAS,BN - UMNO,,23016,169,87.67,20179,70,198,19911,UMNO,DATUK HJ. ALWI,MALE,57,10040,,,,,,,,PAS,USTAZ NIK,MALE,41,9871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027_N.26,KELANTAN,P.027,TANAH MERAH,N.26,BUKIT PANAU,PR - PAS,,27405,3740,84.60,23185,82,259,22844,UMNO,USTAZ HAJI BAHARUDIN,MALE,58,9552,,,,,,,,PAS,DATO' HJ ABDUL FATTAH,MALE,50,13292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027_N.27,KELANTAN,P.027,TANAH MERAH,N.27,GUAL IPOH,BN - UMNO,,16423,1404,86.38,14186,30,182,13974,UMNO,CIKGU BAKRI,MALE,48,7689,,,,,,,,PAS,CIKGU WAN YUSOFF,MALE,50,6285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027_N.28,KELANTAN,P.027,TANAH MERAH,N.28,KEMAHANG,PR - PAS,,14409,1436,87.71,12638,30,138,12470,UMNO,CIKGU DAYANG,FEMALE,47,5517,,,,,,,,PAS,MEJ (B) DATO HJ NIZAM,MALE,59,6953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.028_N.29,KELANTAN,P.028,PASIR PUTEH,N.29,SELISING,BN - UMNO,,18058,107,86.53,15626,53,236,15337,UMNO,ZUL ALI,MALE,,7662,,,,,,,,PAS,USTAZ SAIPUL,MALE,51,7555,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,IBRAHIM BIN ISMAIL,MALE,,120,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.028_N.30,KELANTAN,P.028,PASIR PUTEH,N.30,LIMBONGAN,PR - PAS,,23827,1042,84.96,20243,65,260,19918,UMNO,HAJI RUJHAN SALLEH,MALE,50,9438,,,,,,,,PAS,USTAZ NAZLAN,MALE,40,10480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.028_N.31,KELANTAN,P.028,PASIR PUTEH,N.31,SEMERAK,BN - UMNO,,18269,985,88.29,16129,37,189,15903,UMNO,CIKGU AWI CIKGU ADEK,MALE,48,8444,,,,,,,,PAS,WAN HASSAN,MALE,56,7459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.028_N.32,KELANTAN,P.028,PASIR PUTEH,N.32,GAAL,PR - PAS,,16105,302,88.38,14234,31,149,14054,UMNO,PAK DA WAN,MALE,,6876,,,,,,,,PAS,CIKGU TUAN LAN,MALE,50,7178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029_N.33,KELANTAN,P.029,MACHANG,N.33,PULAI CHONDONG,PR - PAS,,18875,919,86.90,16403,51,179,16173,UMNO,USTAZ HALIM,MALE,48,7627,,,,,,,,PAS,ZULKIFLI BIN MAMAT,MALE,54,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029_N.34,KELANTAN,P.029,MACHANG,N.34,TEMANGAN,PR - PAS,,17966,1085,86.97,15625,27,167,15431,UMNO,CIKGU MIE,MALE,58,7173,,,,,,,,PAS,DATO' DR. MOHAMED FADZLI DATO' HASSAN,MALE,45,8258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029_N.35,KELANTAN,P.029,MACHANG,N.35,KEMUNING,PR - PAS,,22385,1034,86.42,19344,52,228,19064,UMNO,ERIANDI,MALE,35,9015,,,,,,,,PAS,USTAZ LI,MALE,51,10049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030_N.36,KELANTAN,P.030,JELI,N.36,BUKIT BUNGA,BN - UMNO,,16609,1533,84.61,14053,26,176,13851,UMNO,MOHD ADHAN BIN KECHIK,MALE,63,7692,,,,,,,,PAS,ABANG LI PAK TEH ROJAK,MALE,61,6159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030_N.37,KELANTAN,P.030,JELI,N.37,AIR LANAS,BN - UMNO,,15007,47,89.06,13365,36,166,13163,UMNO,DATO' PA,MALE,63,6605,,,,,,,,PAS,USTAZ LAH,MALE,46,6558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030_N.38,KELANTAN,P.030,JELI,N.38,KUALA BALAH,BN - UMNO,,11608,2076,90.05,10453,22,161,10270,UMNO,ABDUL AZIZ BIN DERASHID,MALE,57,6173,,PKR,RAMLAN BIN MAT,MALE,,4097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031_N.39,KELANTAN,P.031,KUALA KRAI,N.39,MENGKEBANG,PR - PAS,,17674,1072,88.56,15652,33,221,15398,UMNO,HJ. AZIZZUDDIN,MALE,,7163,,,,,,,,PAS,USTAZ LATIFF,MALE,42,8235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031_N.40,KELANTAN,P.031,KUALA KRAI,N.40,GUCHIL,PR - PKR,,19088,492,82.14,15678,49,332,15297,UMNO,DATUK HAJI SAPEIA BIN NIK YUSOF,MALE,59,7311,,PKR,CIKGU ROSLAN,MALE,,7803,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,BUSTAMAN YAACOB,MALE,53,146,LOST DEPOSIT,INDEPENDENT - AEROPLANE,PAK LONG CHE SIN KAMPUNG BATU BALAI,MALE,,37,LOST DEPOSIT,,,,,,,,,,,,
P.031_N.41,KELANTAN,P.031,KUALA KRAI,N.41,MANEK URAI,PR - PAS,,15879,1633,89.23,14169,38,160,13971,UMNO,ABE JALAL,MALE,48,6169,,,,,,,,PAS,ABE UJI,MALE,54,7802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031_N.42,KELANTAN,P.031,KUALA KRAI,N.42,DABONG,BN - UMNO,,10460,229,87.42,9144,11,138,8995,UMNO,DATO' RAMZI AB RAHMAN,MALE,55,4612,,,,,,,,PAS,TOK IMAM KU ZAKI,MALE,41,4383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.032_N.43,KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,BN - UMNO,,11572,3849,87.74,10153,20,306,9827,UMNO,YUSOFF,MALE,51,6654,,PKR,MD AZIHAN,MALE,,2805,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ABDUL AZIZ BIN MOHAMED,MALE,,368,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.032_N.44,KELANTAN,P.032,GUA MUSANG,N.44,PALOH,BN - UMNO,,13642,3937,88.23,12036,19,260,11757,UMNO,DATO' LA,MALE,56,7847,,PKR,AMRAN GHANI,MALE,40,3910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.032_N.45,KELANTAN,P.032,GUA MUSANG,N.45,GALAS,BN - UMNO,,14962,1301,86.27,12908,24,273,12611,UMNO,AB AZIZ YUSOFF,MALE,52,6956,,,,,,,,PAS,USTAZ LAH,MALE,41,5655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033_N.01,TERENGGANU,P.033,BESUT,N.01,KUALA BESUT,BN - UMNO,,17679,2434,87.00,15381,53,144,15184,UMNO,DR A. RAHMAN BIN MOKHTAR,MALE,55,8809,,,,,,,,PAS,NAPISAH BINTI ISMAIL,FEMALE,53,6375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033_N.02,TERENGGANU,P.033,BESUT,N.02,KOTA PUTERA,BN - UMNO,,19727,1412,86.75,17114,92,206,16816,UMNO,MOHD MAHDI HJ MUSA (ABE ADI),MALE,44,9084,,PKR,MOHAMED ABDUL GHANI,MALE,,60,LOST DEPOSIT,PAS,USTAZ ADAM MAT SAID,MALE,,7672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033_N.03,TERENGGANU,P.033,BESUT,N.03,JERTIH,BN - UMNO,,18770,930,85.76,16097,63,172,15862,UMNO,HAJI PEHIMI YUSOF,MALE,51,8396,,,,,,,,PAS,USTAZ WAN AZHAR,MALE,47,7466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033_N.04,TERENGGANU,P.033,BESUT,N.04,HULU BESUT,BN - UMNO,,16390,1570,88.01,14425,57,170,14198,UMNO,HJ NAWI HJ MOHAMAD,MALE,50,7884,,,,,,,,PAS,CIKGU SOLAH,MALE,50,6314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034_N.05,TERENGGANU,P.034,SETIU,N.05,JABI,BN - UMNO,,16787,782,88.55,14865,35,142,14688,UMNO,MOHD ISKANDAR BIN JAAFAR,MALE,38,7735,,,,,,,,PAS,DR AZMAN IBRAHIM,MALE,38,6953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034_N.06,TERENGGANU,P.034,SETIU,N.06,PERMAISURI,BN - UMNO,,20322,2928,87.62,17807,41,398,17368,UMNO,DATO' HAJI MOHD JIDIN BIN SHAFEE,MALE,58,9188,,PKR,WAN MOKHTAR WAN IBRAHIM,MALE,46,6260,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,YUSOP MAJID,MALE,,1920,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.034_N.07,TERENGGANU,P.034,SETIU,N.07,LANGKAP,BN - UMNO,,16124,3022,87.13,14049,31,190,13828,UMNO,DATO SABRI,MALE,50,8425,,,,,,,,PAS,HASSAN BIN KARIM,MALE,61,5403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034_N.08,TERENGGANU,P.034,SETIU,N.08,BATU RAKIT,BN - UMNO,,14047,1635,89.28,12541,26,134,12381,UMNO,BAZLAN BIN ABD RAHMAN,MALE,49,7008,,,,,,,,PAS,HAJI GHANI AMBAK,MALE,57,5373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.09,TERENGGANU,P.035,KUALA NERUS,N.09,TEPUH,PR - PAS,,25162,229,88.63,22301,54,220,22027,UMNO,USTAZ RAMLI NUH,MALE,47,10899,,,,,,,,PAS,USTAZ HISHAMUDDIN,MALE,35,11128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.10,TERENGGANU,P.035,KUALA NERUS,N.10,TELUK PASU,PR - PAS,,20121,109,91.05,18321,38,196,18087,UMNO,DATO' HAJI ABDUL RAHIN BIN DATO' HAJI MOHD SAID,MALE,54,8989,,,,,,,,PAS,USTAZ RIDZUAN HASHIM,MALE,41,9098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.11,TERENGGANU,P.035,KUALA NERUS,N.11,SEBERANG TAKIR,BN - UMNO,,16212,1510,87.95,14259,30,204,14025,UMNO,CIKGU RAZIF,MALE,48,7731,,PKR,AHMAD NAZRI,MALE,38,73,LOST DEPOSIT,PAS,ZAKARIA BIN DAGANG,MALE,53,6221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.12,TERENGGANU,P.035,KUALA NERUS,N.12,BUKIT TUNGGAL,PR - PAS,,14743,652,89.23,13155,50,155,12950,UMNO,ISMAIL BIN NIK,MALE,67,6149,,,,,,,,PAS,DR HAJI ALIAS RAZAK,MALE,54,6801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.13,TERENGGANU,P.036,KUALA TERENGGANU,N.13,WAKAF MEMPELAM,PR - PAS,,25240,2986,88.47,22331,67,220,22044,UMNO,WAN MAHYUDIN BIN W NGAH,MALE,51,9529,,,,,,,,PAS,HAJI MOHD ABDUL WAHID ENDUT,MALE,56,12515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.14,TERENGGANU,P.036,KUALA TERENGGANU,N.14,BANDAR,PR - PKR,,20390,2159,83.29,16983,40,276,16667,MCA,TOH CHIN YAW,MALE,58,7254,,PKR,AZAN ISMAIL,MALE,48,9413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.15,TERENGGANU,P.036,KUALA TERENGGANU,N.15,LADANG,PR - PAS,,20089,924,86.74,17425,52,165,17208,UMNO,DATO' WAN AHMAD FARID WAN SALLEH,MALE,51,8142,,,,,,,,PAS,DATO' TENGKU HASSAN,MALE,62,9066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.16,TERENGGANU,P.036,KUALA TERENGGANU,N.16,BATU BURUK,PR - PAS,,28687,2577,88.48,25383,67,231,25085,UMNO,DATO' CHE MAT JUSOH,MALE,64,11254,,,,,,,,PAS,DR SYED AZMAN,MALE,52,13831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037_N.17,TERENGGANU,P.037,MARANG,N.17,ALUR LIMBAT,PR - PAS,,23983,645,89.19,21391,30,244,21117,UMNO,HJ. ALIAS BIN ABDULLAH,MALE,49,10199,,,,,,,,PAS,USTAZ ARIFFIN DERAMAN,MALE,45,10844,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOE,JA'AFAR BIN JAMBOL,MALE,,74,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.037_N.18,TERENGGANU,P.037,MARANG,N.18,BUKIT PAYUNG,PR - PAS,,20063,613,91.04,18265,49,145,18071,UMNO,ZAIDI BIN MUDA,MALE,39,8729,,,,,,,,PAS,USTAZ MOHD NOR HAMZAH,MALE,36,9342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037_N.19,TERENGGANU,P.037,MARANG,N.19,RU RENDANG,PR - PAS,,22662,2819,89.78,20347,49,181,20117,UMNO,HJ. NIK DIR BIN NIK WAN KU,MALE,56,8649,,,,,,,,PAS,DATO' SERI TUAN GURU HAJI ABDUL HADI AWANG,MALE,66,11468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037_N.20,TERENGGANU,P.037,MARANG,N.20,PENGKALAN BERANGAN,BN - UMNO,,24087,1848,90.61,21826,50,270,21506,UMNO,A. LATIFF BIN AWANG,MALE,53,11677,,,,,,,,PAS,USTAZ SULAIMAN SULONG,MALE,37,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038_N.21,TERENGGANU,P.038,HULU TERENGGANU,N.21,TELEMUNG,BN - UMNO,,15742,6864,88.90,13995,31,304,13660,UMNO,HAJI ROZI HAJI MAMAT,MALE,42,10262,,PKR,NARAWI BIN EMBONG,MALE,,3398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038_N.22,TERENGGANU,P.038,HULU TERENGGANU,N.22,MANIR,PR - PAS,,14637,588,91.16,13343,26,159,13158,UMNO,YUSOF AWANG HITAM,MALE,50,6285,,,,,,,,PAS,USTAZ HILMI HARUN,MALE,36,6873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038_N.23,TERENGGANU,P.038,HULU TERENGGANU,N.23,KUALA BERANG,BN - UMNO,,15330,449,89.35,13697,32,280,13385,UMNO,DATO' HJ. TENGKU PUTERA BIN TENGKU AWANG,MALE,54,6917,,,,,,,,PAS,HAJI MUHYIDIN HAJI ABD RASHID,MALE,52,6468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
