UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) CANDIDATE VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.010_N.17,KEDAH,P.010,KUALA KEDAH,N.17,PENGKALAN KUNDOR,PR-PAS,,31788,3884,0.8672,27568,86,314,27168,UMNO,NOOR HASITA BINTI MAT ISA,FEMALE,45,11642,,PAS,DATO’ IR. HAJI PHAHROLRAZI BIN MOHD ZAWAWI,MALE,54,15526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.011_N.18,KEDAH,P.011,PENDANG,N.18,TOKAI,PR-PAS,,34623,5833,0.8882,30751,74,364,30313,UMNO,NAJMUDDIN BIN DARUS,FEMALE,,12172,,PAS,DATO’ TAULAN RASUL,MALE,71,18005,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,ABU BAKAR BIN ABDULLAH,MALE,,136,LOST DEPOSIT,,,,,,,,,,,,
P.011_N.19,KEDAH,P.011,PENDANG,N.19,SUNGAI TIANG,BN-UMNO,,35512,6994,0.8962,31827,55,577,31195,UMNO,SURAYA BINTI YAACOB,FEMALE,44,18929,,PAS,FADZIL BAHARUM,MALE,43,11935,,,,,,,,KITA,CHAREAN A/L ISEN,MALE,,139,LOST DEPOSIT,,,,,,,INDEPENDENT - BIRD,ROSLI BIN OMAR,MALE,,192,LOST DEPOSIT,,,,,,,,,,,,
P.012_N.20,KEDAH,P.012,JERAI,N.20,SUNGAI LIMAU,PR-PAS,,27287,2774,0.8944,24406,57,351,23998,UMNO,AR MOHD FAZILLAH BIN MOHD ALI,MALE,55,10520,,PAS,DATO’ SERI DIRAJA USTAZ HJ AZIZAN BIN ABDUL RAZAK,MALE,69,13294,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,CIKGU SOBRI AHMAD,MALE,,100,LOST DEPOSIT,INDEPENDENT - HIBISCUS,ABDULLAH BIN HASHIM,MALE,,84,LOST DEPOSIT,,,,,,
P.012_N.21,KEDAH,P.012,JERAI,N.21,GUAR CHEMPEDAK,BN-UMNO,,21086,2298,0.8676,18295,51,226,18018,UMNO,DATO’ DR. KU ABD. RAHMAN BIN KU ISMAIL,MALE,61,10158,,PAS,MUSODDAK BIN HJ AHMAD,MALE,44,7860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.012_N.22,KEDAH,P.012,JERAI,N.22,GURUN,BN-UMNO,,26037,1296,0.8479,22077,59,492,21526,UMNO,DOKTOR LEONG YONG KONG,MALE,53,11411,,PKR,SALMA ISMAIL,FEMALE,,10115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013_N.23,KEDAH,P.013,SIK,N.23,BELANTEK,BN-UMNO,,21200,842,0.9014,19109,46,261,18802,UMNO,DATUK MOHD TAJUDIN ABDULLAH,MALE,49,9822,,PAS,USTAZ BAKILANI,MALE,43,8980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013_N.24,KEDAH,P.013,SIK,N.24,JENERI,BN-UMNO,,25586,2060,0.8977,22968,41,351,22576,UMNO,MAHADZIR BIN ABDUL HAMID,MALE,38,12318,,PAS,USTAZ TARMIZI SULAIMAN,MALE,37,10258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.014_N.25,KEDAH,P.014,MERBOK,N.25,BUKIT SELAMBAU,PR-PKR,,49087,530,0.8561,42023,125,839,41059,MIC,M. L. MARAN,MALE,,19561,,PKR,DR. R KRISHNAMOORTHY,MALE,,20091,,,,,,,,KITA,KAMAL NASSER,MALE,,388,LOST DEPOSIT,,,,,,,INDEPENDENT - HIBISCUS,SYED OMAR BIN SYED MAHAMUD,MALE,,936,LOST DEPOSIT,INDEPENDENT - KEY,THIVAGARAN A/L SUPRAMANY,MALE,,83,LOST DEPOSIT,,,,,,
P.014_N.26,KEDAH,P.014,MERBOK,N.26,TANJONG DAWAI,BN-UMNO,,36821,3780,0.8826,32497,95,546,31856,UMNO,DATO’ HAJI TAJUL URUS BIN MAT ZAIN,MALE,61,17818,,PAS,USTAZ AHMAD FAKHRUDDIN BIN FAKHRURAZI,MALE,42,14038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.015_N.27,KEDAH,P.015,SUNGAI PETANI,N.27,PANTAI MERDEKA,BN-UMNO,,33282,1707,0.8943,29763,54,314,29395,UMNO,HAJI ALI YAHAYA,MALE,55,15393,,PAS,HJ. ABDULLAH BIN JUSOH,MALE,64,13686,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,MOHD YUSUF BIN LAZIM,MALE,,316,LOST DEPOSIT,,,,,,,,,,,,
P.015_N.28,KEDAH,P.015,SUNGAI PETANI,N.28,BAKAR ARANG,PR-PKR,,34743,6534,0.8525,29619,69,366,29184,MCA,DR LEE YEAN WANG,MALE,40,11223,,PKR,SIMON OOI,MALE,29,17757,,,,,,,,,,,,,,,,,,,,INDEPENDENT - MOTORCYCLE,ONG KAH SOON,MALE,,204,LOST DEPOSIT,,,,,,,,,,,,
P.015_N.29,KEDAH,P.015,SUNGAI PETANI,N.29,SIDAM,PR-PKR,,25151,5964,0.8605,21642,129,245,21268,GERAKAN,BEE SIEONG HENG,MALE,47,7225,,PKR,DR ROBERT LING,MALE,40,13189,,,,,,,,KITA,VINCENT CV UH,MALE,,42,LOST DEPOSIT,,,,,,,INDEPENDENT - BIRD,TAN HOCK HUAT,MALE,,197,LOST DEPOSIT,INDEPENDENT - ELEPHANT,OOI BENG KOOI,MALE,,268,LOST DEPOSIT,INDEPENDENT - HIBISCUS,ZAMIL BIN IBRAHIM,MALE,,347,LOST DEPOSIT
P.016_N.30,KEDAH,P.016,BALING,N.30,BAYU,BN-UMNO,,34570,4132,0.8924,30850,72,430,30348,UMNO,DATUK AZMI CHE HUSAIN,MALE,52,17240,,PAS,USTAZ MAHMUD YAAKOB,MALE,,13108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.016_N.31,KEDAH,P.016,BALING,N.31,KUPANG,BN-UMNO,,30511,1924,0.8961,27342,72,340,26930,UMNO,HARUN BIN ABDUL AZIZ,MALE,48,14427,,PAS,CIKGU JOHARI BIN ABDULLAH,MALE,47,12503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.016_N.32,KEDAH,P.016,BALING,N.32,KUALA KETIL,PR-PAS,,28087,1154,0.8871,24917,59,369,24489,UMNO,MOHD KHAIRUL AZHAR BIN ABDULLAH,MALE,,11615,,PAS,CIKGU MD. ZUKI BIN YUSOF,MALE,55,12769,,,,,,,,KITA,DATUK DR. KRIS,MALE,,105,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.017_N.33,KEDAH,P.017,PADANG SERAI,N.33,MERBAU PULAS,PR-PAS,,33597,633,0.8736,29349,69,503,28777,UMNO,MARLIA BINTI ABD LATIFF,FEMALE,60,14072,,PAS,USTAZAH SITI ASHAH,FEMALE,51,14705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.017_N.34,KEDAH,P.017,PADANG SERAI,N.34,LUNAS,PR-PKR,,40498,9084,0.87,35235,110,392,34733,MIC,S. ANANTHAN,MALE,46,12586,,PKR,CIKGU AZMAN,MALE,41,21670,,,,,,,,KITA,PREBA,MALE,,71,LOST DEPOSIT,,,,,,,INDEPENDENT - HIBISCUS,R. VASANTHI,FEMALE,,406,LOST DEPOSIT,,,,,,,,,,,,
P.018_N.35,KEDAH,P.018,KULIM-BANDAR BAHARU,N.35,KULIM,BN-MCA,,34404,643,0.8613,29632,113,496,29023,MCA,CHUA THIONG GEE,MALE,41,14384,,PKR,CHU MAW NIAN,MALE,41,13741,,,,,,,,BERJASA,MOHD JUNIP BIN HUZAYIN,MALE,,898,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.018_N.36,KEDAH,P.018,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,BN-UMNO,,26506,2069,0.8728,23134,122,359,22653,UMNO,NORSABRINA MOHD NOOR,FEMALE,34,12361,,PAS,MOHD KHARI BIN MOHD SALLEH,MALE,42,10292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
