Created on,"29/6/2024, updated on 17/7/2025"
PARLIAMENTARY CONSTITUENCY NAME,"Parliamentary Constituency Name (for Peninsular Malaysia and Sabah, 1994 - 2003, for Sarawak, 1987 - 1996)"
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector count using 1995 Elections which was built on 1994 Electoral Roll certified on 9th February 1995
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total Number of Ballot Papers issued at the poll (including postal ballot papers issued to voters and rejected ballot papers but excluding spoilt ballot papers)
TOTAL UNRETURNED VOTES,Number of ballots papers issued but no returned (including postal ballot papers)
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name
BN CANDIDATE SEX,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN VOTE,Barisan Nasional Valid Vote for the Candidate
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
APU,Angkatan Perpaduan Ummah (APU) Component Party
APU CANDIDATE,APU Candidate Name as per the Government Gazette
APU CANDIDATE SEX,Male/Female Classification
APU CANDIDATE AGE,Age of APU Candidate
APU VOTE,APU Valid Vote for the Candidate
APU CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
GR,Gagasan Rakyat (GR) Component Party
GR CANDIDATE,GR Candidate Name as per the Government Gazette
GR CANDIDATE SEX,Male/Female Classification
GR CANDIDATE AGE,Age of Party Candidate
GR VOTE,Party Valid Vote for the GR Candidate
GR CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
S46,Semangat 46 (S46)
S46 CANDIDATE,S46 Candidate Name as per the Government Gazette
S46 CANDIDATE SEX,Male/Female Classification
S46 CANDIDATE AGE,Age of Party Candidate
S46 VOTE,Party Valid Vote for the S46 Candidate
S46 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (1),Other Party
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name as per the Government Gazette
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (1) VOTE,Other Party Candidate Valid Vote
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent with Symbol
INDEPENDENT (1) CANDIDATE,Independent Candidate Name as per the Government Gazette
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (2),Independent with Symbol
INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Government Gazette
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (3),Independent with Symbol
INDEPENDENT (3) CANDIDATE,Independent Candidate Name as per the Government Gazette
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
UMNO,United Malays National Organisation
MCA,Malaysian Chinese Association
MIC,Malaysian Indian Congress
GERAKAN,Parti Gerakan Rakyat Malaysia
AKAR,Angkatan Keadilan Rakyat
LDP,Liberal Democratic Party
PDS,Parti Demokratik Sabah
SAPP,Sabah Progressive Party
PBB,Parti Pesaka Bumiputera Bersatu
PBDS,Parti Bansa Dayak Sarawak
SNAP,Sarawak National Party
SUPP,Sarawak United People's Party
PAS,Parti Islam Se-Malaysia
DAP,Democratic Action Party
PRM,Parti Rakyat Malaysia
PBS,Parti Bersatu Sabah
AKIM,Parti Angkatan Keadilan Insan Malaysia
