TOTAL REJECTED VOTES,Total number of rejected ballot papers,
TOTAL VALID VOTES,Total number of votes by electors,
BN,Barisan Nasional Component Party,
BN CANDIDATE,Barisan Nasional Candidate Name,
BN CANDIDATE SEX,Male/Female Classification,
BN CANDIDATE AGE,Age of Barisan Nasional Candidate,
BN VOTE,Barisan Nasional Valid Vote for the Candidate,
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (1),Other Party,
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name,
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (1) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (2),Other Party,
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name,
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (2) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (2) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (1),Independent,
INDEPENDENT (1) CANDIDATE,Independent Candidate Name,
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (2),Independent,
INDEPENDENT (2) CANDIDATE,Independent Candidate Name,
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (3),Independent,
INDEPENDENT (3) CANDIDATE,Independent Candidate Name,
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (4),Independent,
INDEPENDENT (4) CANDIDATE,Independent Candidate Name,
INDEPENDENT (4) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (4) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (4) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (4) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
,,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,,
PBB,Parti Pesaka Bumiputera Bersatu,
SUPP,Sarawak United People's Party,
SNAP,Sarawak National Party,
PBDS,Parti Bansa Dayak Sarawak,
DAP,Democratic Action Party,
PKN,Democratic Action Party,
PAS,Parti Islam Se-Malaysia,
STAR,State Reform Party,
