UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),"OTHER PARTY (1) CANDIDATE
","OTHER PARTY (1) CANDIDATE GENDER
","OTHER PARTY (1) CANDIDATE AGE
",OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"OTHER PARTY (2)
","OTHER PARTY (2) CANDIDATE
","OTHER PARTY (2) CANDIDATE GENDER
","OTHER PARTY (2) CANDIDATE AGE
",OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.026_N.25,KELANTAN,P.026,KETEREH,N.25,KOK LANAS,BN-UMNO,,"23,016",169,87.67,"20,179",70,198,"19,911",UMNO,DATUK HJ. ALWI,MALE,57,"10,040",,PAS,USTAZ NIK,MALE,41,"9,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027_N.26,KELANTAN,P.027,TANAH MERAH,N.26,BUKIT PANAU,PR-PAS,,"27,405","3,740",84.60,"23,185",82,259,"22,844",UMNO,USTAZ HAJI BAHARUDIN,MALE,58,"9,552",,PAS,DATO’ HJ ABDUL FATTAH,MALE,50,"13,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027_N.27,KELANTAN,P.027,TANAH MERAH,N.27,GUAL IPOH,BN-UMNO,,"16,423","1,404",86.38,"14,186",30,182,"13,974",UMNO,CIKGU BAKRI,MALE,48,"7,689",,PAS,CIKGU WAN YUSOFF,MALE,50,"6,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027_N.28,KELANTAN,P.027,TANAH MERAH,N.28,KEMAHANG,PR-PAS,,"14,409","1,436",87.71,"12,638",30,138,"12,470",UMNO,CIKGU DAYANG,FEMALE,47,"5,517",,PAS,MEJ (B) DATO HJ NIZAM,MALE,59,"6,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.028_N.29,KELANTAN,P.028,PASIR PUTEH,N.29,SELISING,BN-UMNO,,"18,058",107,86.53,"15,626",53,236,"15,337",UMNO,ZUL ALI,MALE,,"7,662",,PAS,USTAZ SAIPUL,MALE,51,"7,555",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,IBRAHIM BIN ISMAIL,MALE,,120,LOST DEPOSIT,,,,,,
P.028_N.30,KELANTAN,P.028,PASIR PUTEH,N.30,LIMBONGAN,PR-PAS,,"23,827","1,042",84.96,"20,243",65,260,"19,918",UMNO,HAJI RUJHAN SALLEH,MALE,50,"9,438",,PAS,USTAZ NAZLAN,MALE,40,"10,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.028_N.31,KELANTAN,P.028,PASIR PUTEH,N.31,SEMERAK,BN-UMNO,,"18,269",985,88.29,"16,129",37,189,"15,903",UMNO,CIKGU AWI CIKGU ADEK,MALE,48,"8,444",,PAS,WAN HASSAN,MALE,56,"7,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.028_N.32,KELANTAN,P.028,PASIR PUTEH,N.32,GAAL,PR-PAS,,"16,105",302,88.38,"14,234",31,149,"14,054",UMNO,PAK DA WAN,MALE,,"6,876",,PAS,CIKGU TUAN LAN,MALE,50,"7,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029_N.33,KELANTAN,P.029,MACHANG,N.33,PULAI CHONDONG,PR-PAS,,"18,875",919,86.90,"16,403",51,179,"16,173",UMNO,USTAZ HALIM,MALE,48,"7,627",,PAS,ZULKIFLI BIN MAMAT,MALE,54,"8,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029_N.34,KELANTAN,P.029,MACHANG,N.34,TEMANGAN,PR-PAS,,"17,966","1,085",86.97,"15,625",27,167,"15,431",UMNO,CIKGU MIE,MALE,58,"7,173",,PAS,DATO’ DR. MOHAMED FADZLI DATO’ HASSAN,MALE,45,"8,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029_N.35,KELANTAN,P.029,MACHANG,N.35,KEMUNING,PR-PAS,,"22,385","1,034",86.42,"19,344",52,228,"19,064",UMNO,ERIANDI,MALE,35,"9,015",,PAS,USTAZ LI,MALE,51,"10,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030_N.36,KELANTAN,P.030,JELI,N.36,BUKIT BUNGA,BN-UMNO,,"16,609","1,533",84.61,"14,053",26,176,"13,851",UMNO,MOHD ADHAN BIN KECHIK,MALE,63,"7,692",,PAS,ABANG LI PAK TEH ROJAK,MALE,61,"6,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030_N.37,KELANTAN,P.030,JELI,N.37,AIR LANAS,BN-UMNO,,"15,007",47,89.06,"13,365",36,166,"13,163",UMNO,DATO’ PA,MALE,63,"6,605",,PAS,USTAZ LAH,MALE,46,"6,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030_N.38,KELANTAN,P.030,JELI,N.38,KUALA BALAH,BN-UMNO,,"11,608","2,076",90.05,"10,453",22,161,"10,270",UMNO,ABDUL AZIZ BIN DERASHID,MALE,57,"6,173",,PKR,RAMLAN BIN MAT,MALE,,"4,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031_N.39,KELANTAN,P.031,KUALA KRAI,N.39,MENGKEBANG,PR-PAS,,"17,674","1,072",88.56,"15,652",33,221,"15,398",UMNO,HJ. AZIZZUDDIN,MALE,,"7,163",,PAS,USTAZ LATIFF,MALE,42,"8,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031_N.40,KELANTAN,P.031,KUALA KRAI,N.40,GUCHIL,PR-PKR,,"19,088",492,82.14,"15,678",49,332,"15,297",UMNO,DATUK HAJI SAPEIA BIN NIK YUSOF,MALE,59,"7,311",,PKR,CIKGU ROSLAN,MALE,,"7,803",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,BUSTAMAN YAACOB,MALE,53,146,LOST DEPOSIT,INDEPENDENT - AEROPLANE,PAK LONG CHE SIN KAMPUNG BATU BALAI,MALE,,37,LOST DEPOSIT
P.031_N.41,KELANTAN,P.031,KUALA KRAI,N.41,MANEK URAI,PR-PAS,,"15,879","1,633",89.23,"14,169",38,160,"13,971",UMNO,ABE JALAL,MALE,48,"6,169",,PAS,ABE UJI,MALE,54,"7,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031_N.42,KELANTAN,P.031,KUALA KRAI,N.42,DABONG,BN-UMNO,,"10,460",229,87.42,"9,144",11,138,"8,995",UMNO,DATO’ RAMZI AB RAHMAN,MALE,55,"4,612",,PAS,TOK IMAM KU ZAKI,MALE,41,"4,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.032_N.43,KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,BN-UMNO,,"11,572","3,849",87.74,"10,153",20,306,"9,827",UMNO,YUSOFF,MALE,51,"6,654",,PKR,MD AZIHAN,MALE,,"2,805",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ABDUL AZIZ BIN MOHAMED,MALE,,368,LOST DEPOSIT,,,,,,
P.032_N.44,KELANTAN,P.032,GUA MUSANG,N.44,PALOH,BN-UMNO,,"13,642","3,937",88.23,"12,036",19,260,"11,757",UMNO,DATO’ LA,MALE,56,"7,847",,PKR,AMRAN GHANI,MALE,40,"3,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.032_N.45,KELANTAN,P.032,GUA MUSANG,N.45,GALAS,BN-UMNO,,"14,962","1,301",86.27,"12,908",24,273,"12,611",UMNO,AB AZIZ YUSOFF,MALE,52,"6,956",,PAS,USTAZ LAH,MALE,41,"5,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
