UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MUSLIM BUMIPUTERA (%),NON MUSLIM BUMIPUTERA (%),CHINESE (%),OTHERS (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - MILITARY AND SPOUSES VOTERS (%),ELECTORS - POLICE AND SPOUSES VOTERS (%),18 - 20 (%),21 - 29 (%),30 - 39 (%),40 - 49 (%),50 - 59 (%),60 - 69 (%),70 - 79 (%),80 - 89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2025)
P. 169_N. 11,SABAH,P. 169,KOTA BELUD,N. 11,KADAMAIAN,26240,,,,,100.00,0.00,0.00,6.22,20.51,23.71,18.16,14.05,10.80,3.71,1.83,1.03,49.58,50.42,RURAL
P. 170_N. 12,SABAH,P. 170,TUARAN,N. 12,SULAMAN,18352,,,,,100.00,0.00,0.00,7.91,21.08,24.23,18.59,12.98,9.62,3.84,1.05,0.71,49.36,50.64,SEMI URBAN
P. 170_N. 13,SABAH,P. 170,TUARAN,N. 13,PANTAI DALIT,26346,,,,,99.24,0.00,0.76,8.59,24.67,23.44,16.40,12.37,9.20,3.58,1.00,0.76,49.62,50.38,SEMI URBAN
P. 170_N. 14,SABAH,P. 170,TUARAN,N. 14,TAMPARULI,26767,,,,,100.00,0.00,0.00,5.93,20.62,22.88,18.67,14.46,10.58,4.42,1.62,0.81,49.87,50.13,RURAL
P. 170_N. 15,SABAH,P. 170,TUARAN,N. 15,KIULU,17191,,,,,100.00,0.00,0.00,6.08,19.38,24.04,18.51,14.21,10.25,4.30,1.91,1.33,50.78,49.22,RURAL
P. 171_N. 16,SABAH,P. 171,SEPANGGAR,N. 16,KARAMBUNAI,39247,,,,,91.97,8.03,0.00,8.72,30.24,28.01,15.69,8.36,5.91,2.02,0.60,0.45,52.10,47.90,URBAN
P. 171_N. 17,SABAH,P. 171,SEPANGGAR,N. 17,DARAU,33016,,,,,100.00,0.00,0.00,7.33,25.20,25.69,16.56,10.99,9.63,3.39,0.83,0.39,51.07,48.93,URBAN
P. 171_N. 18,SABAH,P. 171,SEPANGGAR,N. 18,INANAM,45525,,,,,99.96,0.00,0.04,7.14,23.17,24.05,17.88,12.36,9.88,3.81,1.12,0.59,50.22,49.78,URBAN
P. 172_N. 19,SABAH,P. 172,KOTA KINABALU,N. 19,LIKAS,19100,,,,,99.97,0.00,0.03,3.26,12.76,16.04,16.17,17.73,17.60,11.28,3.67,1.50,48.41,51.59,URBAN
P. 172_N. 20,SABAH,P. 172,KOTA KINABALU,N. 20,API-API,17782,,,,,99.84,0.00,0.16,1.55,6.23,22.65,18.05,16.27,18.08,11.83,3.71,1.63,49.44,50.56,URBAN
P. 172_N. 21,SABAH,P. 172,KOTA KINABALU,N. 21,LUYANG,35262,,,,,99.54,0.46,0.00,3.96,14.48,18.65,19.37,15.87,14.43,9.52,3.05,0.67,48.48,51.52,URBAN
P. 173_N. 22,SABAH,P. 173,PUTATAN,N. 22,TANJUNG ARU,21264,,,,,99.76,0.00,0.24,6.04,19.21,19.66,16.44,14.16,13.00,7.89,2.39,1.21,51.02,48.98,URBAN
P. 173_N. 23,SABAH,P. 173,PUTATAN,N. 23,PETAGAS,20116,,,,,100.00,0.00,0.00,5.86,19.93,22.36,17.59,14.27,12.57,5.30,1.28,0.84,49.93,50.07,URBAN
P. 173_N. 24,SABAH,P. 173,PUTATAN,N. 24,TANJUNG KERAMAT,26113,,,,,88.14,11.86,0.00,7.20,27.44,28.72,18.29,8.99,6.20,2.54,0.49,0.12,53.62,46.38,URBAN
P. 174_N. 25,SABAH,P. 174,PENAMPANG,N. 25,KAPAYAN,49597,,,,,95.25,0.09,4.66,6.21,20.89,23.74,20.42,12.78,9.41,4.88,1.29,0.39,51.03,48.97,URBAN
P. 174_N. 26,SABAH,P. 174,PENAMPANG,N. 26,MOYOG,31084,,,,,98.94,0.00,1.06,6.81,20.62,22.12,18.97,14.20,10.38,4.74,1.42,0.73,50.26,49.74,SEMI URBAN
P. 175_N. 27,SABAH,P. 175,PAPAR,N. 27,LIMBAHAU,20225,,,,,100.00,0.00,0.00,7.04,21.39,21.35,18.41,13.87,10.94,5.14,1.34,0.52,49.83,50.17,SEMI URBAN
P. 175_N. 28,SABAH,P. 175,PAPAR,N. 28,KAWANG,23823,,,,,97.10,0.00,2.90,8.31,23.97,22.46,17.59,13.16,9.35,3.78,0.96,0.41,50.40,49.60,SEMI URBAN
P. 175_N. 29,SABAH,P. 175,PAPAR,N. 29,PANTAI MANIS,20026,,,,,98.88,0.00,1.12,6.30,19.62,20.22,19.04,16.08,11.23,5.32,1.56,0.62,49.47,50.53,SEMI URBAN
P. 176_N. 30,SABAH,P. 176,KIMANIS,N. 30,BONGAWAN,24019,,,,,100.00,0.00,0.00,6.53,19.67,22.71,18.96,14.99,10.72,4.49,1.23,0.69,50.18,49.82,RURAL
P. 176_N. 31,SABAH,P. 176,KIMANIS,N. 31,MEMBAKUT,18563,,,,,99.89,0.00,0.11,5.81,18.39,22.65,19.71,15.49,10.86,4.68,1.37,1.05,50.11,49.89,RURAL
P. 177_N. 32,SABAH,P. 177,BEAUFORT,N. 32,KLIAS,22277,,,,,99.13,0.00,0.87,5.53,17.88,21.09,18.81,16.21,12.69,5.29,1.71,0.77,50.39,49.61,SEMI URBAN
P. 177_N. 33,SABAH,P. 177,BEAUFORT,N. 33,KUALA PENYU,22288,,,,,99.85,0.00,0.15,5.43,17.16,20.38,19.81,16.57,13.41,5.08,1.72,0.43,50.38,49.62,RURAL
P. 178_N. 34,SABAH,P. 178,SIPITANG,N. 34,LUMADAN,22165,,,,,100.00,0.00,0.00,6.06,20.28,22.82,19.13,14.21,10.97,4.46,1.32,0.74,50.34,49.66,RURAL
P. 178_N. 35,SABAH,P. 178,SIPITANG,N. 35,SINDUMIN,25536,,,,,99.37,0.00,0.63,6.56,20.89,23.72,17.20,14.25,11.38,4.01,1.37,0.61,50.99,49.01,RURAL
P. 179_N. 36,SABAH,P. 179,RANAU,N. 36,KUNDASANG,24582,,,,,100.00,0.00,0.00,7.80,23.81,25.41,17.92,10.60,8.60,3.14,1.54,1.17,50.63,49.37,RURAL
P. 179_N. 37,SABAH,P. 179,RANAU,N. 37,KARANAAN,18696,,,,,98.94,0.00,1.06,6.17,19.32,21.84,18.89,15.05,11.82,4.45,1.53,0.93,50.48,49.52,RURAL
P. 179_N. 38,SABAH,P. 179,RANAU,N. 38,PAGINATAN,26881,,,,,100.00,0.00,0.00,7.92,24.74,25.61,18.28,11.12,7.38,3.12,1.04,0.78,50.28,49.72,SEMI URBAN
P. 180_N. 39,SABAH,P. 180,KENINGAU,N. 39,TAMBUNAN,29187,,,,,99.94,0.00,0.06,6.73,23.23,26.50,17.47,12.15,8.95,3.40,1.16,0.41,49.77,50.23,SEMI URBAN
P. 180_N. 40,SABAH,P. 180,KENINGAU,N. 40,BINGKOR,31305,,,,,97.50,0.00,2.50,7.47,22.54,24.14,18.19,13.62,8.96,3.39,0.92,0.78,50.86,49.14,SEMI URBAN
P. 180_N. 41,SABAH,P. 180,KENINGAU,N. 41,LIAWAN,32661,,,,,100.00,0.00,0.00,7.93,26.13,26.20,16.03,10.81,8.66,2.91,0.78,0.56,50.78,49.22,URBAN
P. 181_N. 42,SABAH,P. 181,TENOM,N. 42,MELALAP,21320,,,,,99.16,0.00,0.84,6.70,20.43,22.69,18.16,14.09,11.06,4.33,1.42,1.13,50.68,49.32,RURAL
P. 181_N. 43,SABAH,P. 181,TENOM,N. 43,KEMABONG,23168,,,,,100.00,0.00,0.00,6.98,22.03,24.12,18.10,13.50,9.47,2.89,1.57,1.33,49.20,50.80,RURAL
P. 182_N. 44,SABAH,P. 182,PENSIANGAN,N. 44,TULID,16551,,,,,100.00,0.00,0.00,8.13,24.43,25.77,16.96,12.13,7.81,2.65,1.26,0.85,50.89,49.11,RURAL
P. 182_N. 45,SABAH,P. 182,PENSIANGAN,N. 45,SOOK,20349,,,,,100.00,0.00,0.00,8.20,25.79,25.35,16.40,11.24,8.10,2.48,1.07,1.37,50.54,49.46,RURAL
P. 182_N. 46,SABAH,P. 182,PENSIANGAN,N. 46,NABAWAN,23392,,,,,99.94,0.00,0.06,9.15,28.92,25.36,15.24,9.34,6.21,2.55,1.30,1.93,48.91,51.09,RURAL
P. 183_N. 47,SABAH,P. 183,BELURAN,N. 47,TELUPID,14965,,,,,100.00,0.00,0.00,8.35,25.75,24.40,16.67,12.84,7.40,2.96,1.07,0.56,51.07,48.93,RURAL
P. 183_N. 48,SABAH,P. 183,BELURAN,N. 48,SUGUT,18435,,,,,100.00,0.00,0.00,7.69,24.78,24.01,16.39,11.30,8.70,3.80,1.95,1.38,51.55,48.45,RURAL
P. 183_N. 49,SABAH,P. 183,BELURAN,N. 49,LABUK,14564,,,,,98.27,0.00,1.73,7.73,23.37,25.87,18.33,12.48,7.90,3.06,0.84,0.42,50.51,49.49,SEMI URBAN
P. 184_N. 50,SABAH,P. 184,LIBARAN,N. 50,GUM-GUM,19433,,,,,96.46,0.00,3.54,7.22,22.66,23.48,18.73,12.94,8.91,3.94,1.18,0.94,52.42,47.58,RURAL
P. 184_N. 51,SABAH,P. 184,LIBARAN,N. 51,SUNGAI MANILA,18217,,,,,96.94,0.00,3.06,7.27,22.23,23.07,16.85,14.37,9.50,4.46,1.46,0.78,52.20,47.80,RURAL
P. 184_N. 52,SABAH,P. 184,LIBARAN,N. 52,SUNGAI SIBUGA,38678,,,,,98.95,1.05,0.00,8.88,26.92,25.56,17.19,10.09,7.08,3.22,0.78,0.29,50.16,49.84,URBAN
P. 185_N. 53,SABAH,P. 185,BATU SAPI,N. 53,SEKONG,27518,,,,,99.78,0.22,0.00,7.88,25.36,25.99,16.18,10.81,8.11,3.88,1.12,0.66,50.64,49.36,URBAN
P. 185_N. 54,SABAH,P. 185,BATU SAPI,N. 54,KARAMUNTING,19615,,,,,93.24,4.94,1.81,4.47,19.84,20.67,16.04,14.63,12.72,7.21,2.51,1.91,53.58,46.42,URBAN
P. 186_N. 55,SABAH,P. 186,SANDAKAN,N. 55,ELOPURA,39004,,,,,99.49,0.00,0.51,6.36,23.17,24.18,16.75,11.37,9.96,5.56,1.84,0.81,50.31,49.69,URBAN
P. 186_N. 56,SABAH,P. 186,SANDAKAN,N. 56,TANJONG PAPAT,16767,,,,,98.51,0.00,1.49,4.68,16.14,16.91,14.96,15.97,16.42,9.63,3.21,2.08,50.71,49.29,URBAN
P. 187_N. 57,SABAH,P. 187,KINABATANGAN,N. 57,KUAMUT,18228,,,,,100.00,0.00,0.00,8.91,26.30,24.68,15.92,11.09,7.74,2.76,1.53,1.08,50.62,49.38,RURAL
P. 187_N. 58,SABAH,P. 187,KINABATANGAN,N. 58,LAMAG,13859,,,,,98.56,0.00,1.44,8.12,25.32,24.22,18.55,11.79,7.87,2.73,0.80,0.60,51.96,48.04,RURAL
P. 187_N. 59,SABAH,P. 187,KINABATANGAN,N. 59,SUKAU,16541,,,,,100.00,0.00,0.00,7.59,22.74,23.72,16.94,13.57,9.26,3.96,1.06,1.18,52.17,47.83,RURAL
P. 188_N. 60,SABAH,P. 188,LAHAD DATU,N. 60,TUNGKU,24741,,,,,98.39,1.10,0.51,7.84,27.03,28.31,15.67,10.41,7.42,2.15,0.61,0.58,52.17,47.83,RURAL
P. 188_N. 61,SABAH,P. 188,LAHAD DATU,N. 61,SEGAMA,29840,,,,,97.82,0.37,1.81,8.89,27.50,24.51,15.30,10.66,8.02,3.49,0.90,0.72,52.15,47.85,URBAN
P. 188_N. 62,SABAH,P. 188,LAHAD DATU,N. 62,SILAM,28261,,,,,97.92,0.00,2.08,7.82,23.29,25.27,17.46,11.77,8.91,3.85,1.04,0.60,51.64,48.36,URBAN
P. 188_N. 63,SABAH,P. 188,LAHAD DATU,N. 63,KUNAK,24854,,,,,99.24,0.00,0.76,8.12,26.32,25.70,15.66,10.62,8.61,3.44,0.93,0.61,50.83,49.17,RURAL
P. 189_N. 64,SABAH,P. 189,SEMPORNA,N. 64,SULABAYAN,20258,,,,,100.00,0.00,0.00,8.05,22.79,22.44,17.48,14.26,8.94,2.68,1.33,2.03,48.65,51.35,RURAL
P. 189_N. 65,SABAH,P. 189,SEMPORNA,N. 65,SENALLANG,20763,,,,,98.06,1.75,0.18,8.20,24.12,21.72,17.64,13.41,9.13,3.43,1.31,1.04,49.55,50.45,SEMI URBAN
P. 189_N. 66,SABAH,P. 189,SEMPORNA,N. 66,BUGAYA,36569,,,,,97.26,0.00,2.74,9.63,28.35,25.43,15.90,10.44,6.54,2.22,0.80,0.68,50.80,49.20,URBAN
P. 190_N. 67,SABAH,P. 190,TAWAU,N. 67,BALUNG,22252,,,,,100.00,0.00,0.00,8.22,22.17,24.33,17.32,11.65,10.40,4.29,1.07,0.53,50.93,49.07,SEMI URBAN
P. 190_N. 68,SABAH,P. 190,TAWAU,N. 68,APAS,32241,,,,,98.11,1.89,0.00,7.97,25.62,24.17,15.60,11.36,9.43,4.13,1.17,0.56,51.76,48.24,URBAN
P. 190_N. 69,SABAH,P. 190,TAWAU,N. 69,SRI TANJONG,37327,,,,,97.99,0.00,2.01,5.50,18.79,19.55,18.38,14.89,12.48,7.24,2.19,0.99,51.23,48.77,URBAN
P. 191_N. 70,SABAH,P. 191,KALABAKAN,N. 70,KUKUSAN,19225,,,,,92.39,7.61,0.00,6.40,22.67,23.97,18.51,12.07,10.35,4.36,1.10,0.57,51.75,48.25,URBAN
P. 191_N. 71,SABAH,P. 191,KALABAKAN,N. 71,TANJUNG BATU,27428,,,,,100.00,0.00,0.00,7.42,25.39,28.49,17.76,8.86,7.99,3.14,0.82,0.13,50.51,49.49,URBAN
P. 191_N. 72,SABAH,P. 191,KALABAKAN,N. 72,MEROTAI,26179,,,,,97.86,0.00,2.14,8.45,25.46,24.86,16.66,10.55,8.61,3.66,1.15,0.60,51.62,48.38,RURAL
P. 191_N. 73,SABAH,P. 191,KALABAKAN,N. 73,SEBATIK,16893,,,,,96.54,3.46,0.00,7.17,24.68,27.79,17.09,10.99,8.23,2.37,0.81,0.87,52.52,47.48,RURAL
