INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Government Gazette,
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
,,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,,
UMNO,United Malays National Organisation,
MCA,Malaysian Chinese Association (then known as Malayan Chinese Association),
MIC,Malaysian Indian Congress (then known as Malayan Indian Congress),
PRM,Parti Rakyat Malaysia,
LPM,Labour Party of Malaya,
NEGARA,Parti Negara,
M.P.,Malayan Party,
