UNIQUE CODE (1981),PARLIAMENTARY CONSTITUENCY CODE (1981),PARLIAMENTARY CONSTITUENCY NAME (1981),STATE CONSTITUENCY CODE (1981),STATE CONSTITUENCY NAME (1981),UNIQUE CODE (1984),STATE (1984),PARLIAMENTARY CONSTITUENCY CODE (1984),PARLIAMENTARY CONSTITUENCY NAME (1984),STATE CONSTITUENCY CODE (1984),STATE CONSTITUENCY NAME (1984),DUN NAME CHANGE,NEW DUN SEAT,NOTES
P.120_N.18,P.120,KINABALU,N.18,TAMBUNAN,P. 142_N. 24,SABAH,P. 142,KENINGAU,N. 24,TAMBUNAN,,,Boundaries were changed. DUN moved from Parliamentary Constituency of Kinabalu to Keningau
P.121_N.19,P.121,GAYA,N.19,LIKAS,P. 144_N. 28,SABAH,P. 144,GAYA,N. 28,LIKAS,,,Boundaries were changed
P.121_N.20,P.121,GAYA,N.20,KOTA KINABALU,P. 144_N. 29,SABAH,P. 144,GAYA,N. 29,API - API,YES,,Boundaries were changed
P.121_N.21,P.121,GAYA,N.21,TANJONG ARU,P. 145_N. 30,SABAH,P. 145,TANJONG ARU,N. 30,SEMBULAN,YES,,Boundaries were changed. DUN moved to new Parliamentary Constituency of Tanjong Aru
,,,,,P. 145_N. 31,SABAH,P. 145,TANJONG ARU,N. 31,PETAGAS,,Yes,New DUN (subdivided from former Tanjong Aru DUN) formed under new Parliamentary Constituency of Tanjong Aru
P.122_N.22,P.122,PENAMPANG,N.22,INANAM,P. 143_N. 27,SABAH,P. 143,PENAMPANG,N. 27,INANAM,,,Boundaries were changed
P.122_N.23,P.122,PENAMPANG,N.23,MOYOG,P. 143_N. 26,SABAH,P. 143,PENAMPANG,N. 26,MOYOG,,,Boundaries were changed
P.122_N.24,P.122,PENAMPANG,N.24,KAWANG,P. 146_N. 32,SABAH,P. 146,PAPAR,N. 32,KAWANG,,,Boundaries were changed. DUN moved to new Parliamentary constituency of Papar
P.123_N.25,P.123,SANDAKAN,N.25,ELOPURA,P. 140_N. 18,SABAH,P. 140,SANDAKAN,N. 18,ELOPURA,,,Boundaries were changed
P.123_N.26,P.123,SANDAKAN,N.26,BANDAR SANDAKAN,P. 140_N. 19,SABAH,P. 140,SANDAKAN,N. 19,TANJONG PAPAT,YES,,Boundaries were changed
P.123_N.27,P.123,SANDAKAN,N.27,KARAMUNTING,P. 140_N. 20,SABAH,P. 140,SANDAKAN,N. 20,KARAMUNTING,,,Boundaries were changed
P.124_N.28,P.124,KINABATANGAN,N.28,SEKONG,P. 141_N. 21,SABAH,P. 141,KINABATANGAN,N. 21,SEKONG,,,Boundaries were changed
P.124_N.29,P.124,KINABATANGAN,N.29,KUALA KINABATANGAN,P. 141_N. 22,SABAH,P. 141,KINABATANGAN,N. 22,SUKAU,YES,,Boundaries were changed
P.124_N.30,P.124,KINABATANGAN,N.30,KUAMUT,P. 141_N. 23,SABAH,P. 141,KINABATANGAN,N. 23,KUAMUT,,,Boundaries were changed
P.125_N.31,P.125,KIMANIS,N.31,PAPAR,P. 146_N. 33,SABAH,P. 146,PAPAR,N. 33,BUANG SAYANG,YES,,Boundaries were changed. DUN moved to new Parliamentary constituency of Papar
P.125_N.32,P.125,KIMANIS,N.32,BONGAWAN,P. 147_N. 34,SABAH,P. 147,KIMANIS,N. 34,BONGAWAN,,,Boundaries were changed
P.125_N.33,P.125,KIMANIS,N.33,KUALA PENYU,P. 147_N. 35,SABAH,P. 147,KIMANIS,N. 35,KUALA PENYU,,,Boundaries were changed
P.126_N.34,P.126,HILIR PADAS,N.34,LABUAN,,,,,,,,,Constituency Abolished as Labuan became a Federal Territory in 1984
P.126_N.35,P.126,HILIR PADAS,N.35,KLIAS,P. 148_N. 36,SABAH,P. 148,LIMBAWANG,N. 36,KLIAS,,,Boundaries were changed
P.126_N.36,P.126,HILIR PADAS,N.36,LUMADAN,P. 148_N. 37,SABAH,P. 148,LIMBAWANG,N. 37,LUMADAN,,,Boundaries were changed
P.127_N.37,P.127,KENINGAU,N.37,BINGKOR,P. 142_N. 25,SABAH,P. 142,KENINGAU,N. 25,BINGKOR,,,Boundaries were changed
P.127_N.38,P.127,KENINGAU,N.38,SOOK,P. 150_N. 41,SABAH,P. 150,PENSIANGAN,N. 41,SOOK,,,Boundaries were changed. DUN moved to new Parliamentary constituency of Pensiangan
P.127_N.39,P.127,KENINGAU,N.39,PENSIANGAN,P. 150_N. 42,SABAH,P. 150,PENSIANGAN,N. 42,NABAWAN,YES,,Boundaries were changed. DUN moved to new Parliamentary constituency of Pensiangan
P.128_N.40,P.128,SILAM,N.40,LAHAD DATU,P. 152_N. 45,SABAH,P. 152,SILAM,N. 45,LAHAD DATU,,,Boundaries were changed
P.128_N.41,P.128,SILAM,N.41,KUNAK,P. 152_N. 46,SABAH,P. 152,SILAM,N. 46,KUNAK,,,Boundaries were changed
P.128_N.42,P.128,SILAM,N.42,SEMPORNA,P. 153_N. 48,SABAH,P. 153,SEMPORNA,N. 48,SULABAYAN,YES,,Boundaries were changed. DUN moved to new Parliamentary constituency of Semporna
P.129_N.43,P.129,ULU PADAS,N.43,TENOM,P. 149_N. 39,SABAH,P. 149,PADAS,N. 39,TENOM,,,Boundaries were changed
P.129_N.44,P.129,ULU PADAS,N.44,SIPITANG,P. 149_N. 38,SABAH,P. 149,PADAS,N. 38,SIPITANG,,,Boundaries were changed
P.129_N.45,P.129,ULU PADAS,N.45,KEMABONG,P. 149_N. 40,SABAH,P. 149,PADAS,N. 40,KEMABONG,,,Boundaries were changed
P.130_N.46,P.130,TAWAU,N.46,MEROTAI,P. 151_N. 43,SABAH,P. 151,TAWAU,N. 43,MEROTAI,,,Boundaries were changed
P.130_N.47,P.130,TAWAU,N.47,BALUNG,P. 153_N. 47,SABAH,P. 153,SEMPORNA,N. 47,BALUNG,,,Boundaries were changed. DUN moved to new Parliamentary constituency of Semporna
P.130_N.48,P.130,TAWAU,N.48,BANDAR TAWAU,P. 151_N. 44,SABAH,P. 151,TAWAU,N. 44,SRI TANJUNG,YES,,Boundaries were changed
