Created on,12/9/2023
OTHER PARTY (3) CANDIDATE GENDER,Male/Female Classification
OTHER PARTY (3) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (3) CANDIDATE VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (4),Other Party Name
OTHER PARTY (4) CANDIDATE,Other Party Candidate Name as per the Government Gazetter (Form 8)
OTHER PARTY (4) CANDIDATE GENDER,Male/Female Classification
OTHER PARTY (4) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (4) CANDIDATE VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (4) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (5),Other Party Name
OTHER PARTY (5) CANDIDATE,Other Party Candidate Name as per the Government Gazetter (Form 8)
OTHER PARTY (5) CANDIDATE GENDER,Male/Female Classification
OTHER PARTY (5) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (5) CANDIDATE VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (5) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 1,Independent with Symbol
INDEPENDENT 1 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 1 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 1 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 1 CANDIDATE VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 1 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 2,Independent with Symbol
INDEPENDENT 2 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 2 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 2 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 2 CANDIDATE VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 2 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
UMNO,United Malays National Organisation
MCA,Malaysian Chinese Association
MIC,Malaysian Indian Congress
PPP,People's Progressive Party
GERAKAN,Parti Gerakan Rakyat Malaysia
LDP,Liberal Democratic Party
PBRS,Parti Bersatu Rakyat Sabah
PBS,Parti Bersatu Sabah
UPKO,United Progressive Kinabalu Organisation
PKR,Parti Keadilan Rakyat
DAP,Democratic Action Party
PAN,Parti Amanah Negara
PPBM,Parti Pribumi Bersatu Malaysia
PAS,Parti Islam Se-Malaysia
PPRS,Parti Perpaduan Rakyat Sabah
SAPP,Sabah Progressive Party
USNO,Parti Pertubuhan Kebangsaan Sabah Bersatu
PHRS,Parti Harapan Rakyat Sabah
PKS,Parti Kebangsaan Sabah
STAR - SABAH,Parti Solidariti Tanah Airku
STAR - SARAWAK,Parti Reformasi Negeri Sarawak
PCS,Parti Cinta Sabah
PKAN,Parti Kerjasama Anak Negeri
