UNIQUE CODE (2018),STATE (2018),PARLIAMENT CONSTITUENCY CODE (2018),PARLIAMENT CONSTITUENCY NAME (2018),STATE CONSTITUENCY CODE (2018),STATE CONSTITUENCY NAME (2018),AREA (SQ KM),Notes
P. 036_N. 14,TERENGGANU,P. 036,KUALA TERENGGANU,N. 14,BANDAR,5,AS per 2018 Gazetted Redelineation
P. 036_N. 15,TERENGGANU,P. 036,KUALA TERENGGANU,N. 15,LADANG,9,AS per 2018 Gazetted Redelineation
P. 036_N. 16,TERENGGANU,P. 036,KUALA TERENGGANU,N. 16,BATU BURUK,23,AS per 2018 Gazetted Redelineation
P. 037_N. 17,TERENGGANU,P. 037,MARANG,N. 17,ALUR LIMBAT,64,AS per 2018 Gazetted Redelineation
P. 037_N. 18,TERENGGANU,P. 037,MARANG,N. 18,BUKIT PAYUNG,36,AS per 2018 Gazetted Redelineation
P. 037_N. 19,TERENGGANU,P. 037,MARANG,N. 19,RU RENDANG,130,AS per 2018 Gazetted Redelineation
P. 037_N. 20,TERENGGANU,P. 037,MARANG,N. 20,PENGKALAN BERANGAN,484,AS per 2018 Gazetted Redelineation
P. 038_N. 21,TERENGGANU,P. 038,HULU TERENGGANU,N. 21,TELEMUNG,3246,AS per 2018 Gazetted Redelineation
P. 038_N. 22,TERENGGANU,P. 038,HULU TERENGGANU,N. 22,MANIR,32,AS per 2018 Gazetted Redelineation
P. 038_N. 23,TERENGGANU,P. 038,HULU TERENGGANU,N. 23,KUALA BERANG,120,AS per 2018 Gazetted Redelineation
P. 038_N. 24,TERENGGANU,P. 038,HULU TERENGGANU,N. 24,AJIL,575,AS per 2018 Gazetted Redelineation
P. 039_N. 25,TERENGGANU,P. 039,DUNGUN,N. 25,BUKIT BESI,2067,AS per 2018 Gazetted Redelineation
P. 039_N. 26,TERENGGANU,P. 039,DUNGUN,N. 26,RANTAU ABANG,253,AS per 2018 Gazetted Redelineation
P. 039_N. 27,TERENGGANU,P. 039,DUNGUN,N. 27,SURA,18,AS per 2018 Gazetted Redelineation
P. 039_N. 28,TERENGGANU,P. 039,DUNGUN,N. 28,PAKA,349,AS per 2018 Gazetted Redelineation
P. 040_N. 29,TERENGGANU,P. 040,KEMAMAN,N. 29,KEMASIK,314,AS per 2018 Gazetted Redelineation
P. 040_N. 30,TERENGGANU,P. 040,KEMAMAN,N. 30,KIJAL,550,AS per 2018 Gazetted Redelineation
P. 040_N. 31,TERENGGANU,P. 040,KEMAMAN,N. 31,CUKAI,64,AS per 2018 Gazetted Redelineation
P. 040_N. 32,TERENGGANU,P. 040,KEMAMAN,N. 32,AIR PUTIH,1612,AS per 2018 Gazetted Redelineation
P. 041_N. 01,PULAU PINANG,P. 041,KEPALA BATAS,N. 01,PENAGA,39,AS per 2018 Gazetted Redelineation
P. 041_N. 02,PULAU PINANG,P. 041,KEPALA BATAS,N. 02,BERTAM,24,AS per 2018 Gazetted Redelineation
P. 041_N. 03,PULAU PINANG,P. 041,KEPALA BATAS,N. 03,PINANG TUNGGAL,75,AS per 2018 Gazetted Redelineation
P. 042_N. 04,PULAU PINANG,P. 042,TASEK GELUGOR,N. 04,PERMATANG BERANGAN,56,AS per 2018 Gazetted Redelineation
P. 042_N. 05,PULAU PINANG,P. 042,TASEK GELUGOR,N. 05,SUNGAI DUA,35,AS per 2018 Gazetted Redelineation
P. 042_N. 06,PULAU PINANG,P. 042,TASEK GELUGOR,N. 06,TELOK AYER TAWAR,18,AS per 2018 Gazetted Redelineation
P. 043_N. 07,PULAU PINANG,P. 043,BAGAN,N. 07,SUNGAI PUYU,7,AS per 2018 Gazetted Redelineation
P. 043_N. 08,PULAU PINANG,P. 043,BAGAN,N. 08,BAGAN JERMAL,6,AS per 2018 Gazetted Redelineation
P. 043_N. 09,PULAU PINANG,P. 043,BAGAN,N. 09,BAGAN DALAM,7,AS per 2018 Gazetted Redelineation
P. 044_N. 10,PULAU PINANG,P. 044,PERMATANG PAUH,N. 10,SEBERANG JAYA,22,AS per 2018 Gazetted Redelineation
P. 044_N. 11,PULAU PINANG,P. 044,PERMATANG PAUH,N. 11,PERMATANG PASIR,29,AS per 2018 Gazetted Redelineation
P. 044_N. 12,PULAU PINANG,P. 044,PERMATANG PAUH,N. 12,PENANTI,47,AS per 2018 Gazetted Redelineation
P. 045_N. 13,PULAU PINANG,P. 045,BUKIT MERTAJAM,N. 13,BERAPIT,6,AS per 2018 Gazetted Redelineation
P. 045_N. 14,PULAU PINANG,P. 045,BUKIT MERTAJAM,N. 14,MACHANG BUBUK,62,AS per 2018 Gazetted Redelineation
P. 045_N. 15,PULAU PINANG,P. 045,BUKIT MERTAJAM,N. 15,PADANG LALANG,10,AS per 2018 Gazetted Redelineation
P. 046_N. 16,PULAU PINANG,P. 046,BATU KAWAN,N. 16,PERAI,11,AS per 2018 Gazetted Redelineation
P. 046_N. 17,PULAU PINANG,P. 046,BATU KAWAN,N. 17,BUKIT TENGAH,52,AS per 2018 Gazetted Redelineation
P. 046_N. 18,PULAU PINANG,P. 046,BATU KAWAN,N. 18,BUKIT TAMBUN,66,AS per 2018 Gazetted Redelineation
P. 047_N. 19,PULAU PINANG,P. 047,NIBONG TEBAL,N. 19,JAWI,56,AS per 2018 Gazetted Redelineation
P. 047_N. 20,PULAU PINANG,P. 047,NIBONG TEBAL,N. 20,SUNGAI BAKAP,84,AS per 2018 Gazetted Redelineation
P. 047_N. 21,PULAU PINANG,P. 047,NIBONG TEBAL,N. 21,SUNGAI ACHEH,38,AS per 2018 Gazetted Redelineation
P. 048_N. 22,PULAU PINANG,P. 048,BUKIT BENDERA,N. 22,TANJONG BUNGA,19,AS per 2018 Gazetted Redelineation
P. 048_N. 23,PULAU PINANG,P. 048,BUKIT BENDERA,N. 23,AIR PUTIH,29,AS per 2018 Gazetted Redelineation
P. 048_N. 24,PULAU PINANG,P. 048,BUKIT BENDERA,N. 24,KEBUN BUNGA,11,AS per 2018 Gazetted Redelineation
P. 048_N. 25,PULAU PINANG,P. 048,BUKIT BENDERA,N. 25,PULAU TIKUS,6,AS per 2018 Gazetted Redelineation
P. 049_N. 26,PULAU PINANG,P. 049,TANJONG,N. 26,PADANG KOTA,3,AS per 2018 Gazetted Redelineation
P. 049_N. 27,PULAU PINANG,P. 049,TANJONG,N. 27,PENGKALAN KOTA,1,AS per 2018 Gazetted Redelineation
P. 049_N. 28,PULAU PINANG,P. 049,TANJONG,N. 28,KOMTAR,2,AS per 2018 Gazetted Redelineation
P. 050_N. 29,PULAU PINANG,P. 050,JELUTONG,N. 29,DATOK KERAMAT,3,AS per 2018 Gazetted Redelineation
P. 050_N. 30,PULAU PINANG,P. 050,JELUTONG,N. 30,SUNGAI PINANG,4,AS per 2018 Gazetted Redelineation
P. 050_N. 31,PULAU PINANG,P. 050,JELUTONG,N. 31,BATU LANCANG,3,AS per 2018 Gazetted Redelineation
P. 051_N. 32,PULAU PINANG,P. 051,BUKIT GELUGOR,N. 32,SERI DELIMA,5,AS per 2018 Gazetted Redelineation
P. 051_N. 33,PULAU PINANG,P. 051,BUKIT GELUGOR,N. 33,AIR ITAM,3,AS per 2018 Gazetted Redelineation
P. 051_N. 34,PULAU PINANG,P. 051,BUKIT GELUGOR,N. 34,PAYA TERUBONG,24,AS per 2018 Gazetted Redelineation
P. 052_N. 35,PULAU PINANG,P. 052,BAYAN BARU,N. 35,BATU UBAN,9,AS per 2018 Gazetted Redelineation
P. 052_N. 36,PULAU PINANG,P. 052,BAYAN BARU,N. 36,PANTAI JEREJAK,11,AS per 2018 Gazetted Redelineation
P. 052_N. 37,PULAU PINANG,P. 052,BAYAN BARU,N. 37,BATU MAUNG,21,AS per 2018 Gazetted Redelineation
P. 053_N. 38,PULAU PINANG,P. 053,BALIK PULAU,N. 38,BAYAN LEPAS,38,AS per 2018 Gazetted Redelineation
P. 053_N. 39,PULAU PINANG,P. 053,BALIK PULAU,N. 39,PULAU BETONG,44,AS per 2018 Gazetted Redelineation
P. 053_N. 40,PULAU PINANG,P. 053,BALIK PULAU,N. 40,TELOK BAHANG,65,AS per 2018 Gazetted Redelineation
P. 054_N. 01,PERAK,P. 054,GERIK,N. 01,PENGKALAN HULU,523,AS per 2018 Gazetted Redelineation
P. 054_N. 02,PERAK,P. 054,GERIK,N. 02,TEMENGOR,3998,AS per 2018 Gazetted Redelineation
P. 055_N. 03,PERAK,P. 055,LENGGONG,N. 03,KENERING,1475,AS per 2018 Gazetted Redelineation
P. 055_N. 04,PERAK,P. 055,LENGGONG,N. 04,KOTA TAMPAN,318,AS per 2018 Gazetted Redelineation
P. 056_N. 05,PERAK,P. 056,LARUT,N. 05,SELAMA,475,AS per 2018 Gazetted Redelineation
P. 056_N. 06,PERAK,P. 056,LARUT,N. 06,KUBU GAJAH,458,AS per 2018 Gazetted Redelineation
P. 056_N. 07,PERAK,P. 056,LARUT,N. 07,BATU KURAU,196,AS per 2018 Gazetted Redelineation
P. 057_N. 08,PERAK,P. 057,PARIT BUNTAR,N. 08,TITI SERONG,70,AS per 2018 Gazetted Redelineation
P. 057_N. 09,PERAK,P. 057,PARIT BUNTAR,N. 09,KUALA KURAU,75,AS per 2018 Gazetted Redelineation
P. 058_N. 10,PERAK,P. 058,BAGAN SERAI,N. 10,ALOR PONGSU,244,AS per 2018 Gazetted Redelineation
P. 058_N. 11,PERAK,P. 058,BAGAN SERAI,N. 11,GUNONG SEMANGGOL,266,AS per 2018 Gazetted Redelineation
P. 058_N. 12,PERAK,P. 058,BAGAN SERAI,N. 12,SELINSING,260,AS per 2018 Gazetted Redelineation
P. 059_N. 13,PERAK,P. 059,BUKIT GANTANG,N. 13,KUALA SAPETANG,232,AS per 2018 Gazetted Redelineation
P. 059_N. 14,PERAK,P. 059,BUKIT GANTANG,N. 14,CHANGKAT JERING,81,AS per 2018 Gazetted Redelineation
P. 059_N. 15,PERAK,P. 059,BUKIT GANTANG,N. 15,TRONG,520,AS per 2018 Gazetted Redelineation
P. 060_N. 16,PERAK,P. 060,TAIPING,N. 16,KAMUNTING,46,AS per 2018 Gazetted Redelineation
P. 060_N. 17,PERAK,P. 060,TAIPING,N. 17,POKOK ASSAM,50,AS per 2018 Gazetted Redelineation
P. 060_N. 18,PERAK,P. 060,TAIPING,N. 18,AULONG,22,AS per 2018 Gazetted Redelineation
P. 061_N. 19,PERAK,P. 061,PADANG RENGAS,N. 19,CHENDEROH,205,AS per 2018 Gazetted Redelineation
P. 061_N. 20,PERAK,P. 061,PADANG RENGAS,N. 20,LUBOK MERBAU,190,AS per 2018 Gazetted Redelineation
P. 062_N. 21,PERAK,P. 062,SUNGAI SIPUT,N. 21,LINTANG,1364,AS per 2018 Gazetted Redelineation
P. 062_N. 22,PERAK,P. 062,SUNGAI SIPUT,N. 22,JALONG,486,AS per 2018 Gazetted Redelineation
P. 063_N. 23,PERAK,P. 063,TAMBUN,N. 23,MANJOI,116,AS per 2018 Gazetted Redelineation
P. 063_N. 24,PERAK,P. 063,TAMBUN,N. 24,HULU KINTA,419,AS per 2018 Gazetted Redelineation
P. 064_N. 25,PERAK,P. 064,IPOH TIMOR,N. 25,CANNING,14,AS per 2018 Gazetted Redelineation
P. 064_N. 26,PERAK,P. 064,IPOH TIMOR,N. 26,TEBING TINGGI,21,AS per 2018 Gazetted Redelineation
P. 064_N. 27,PERAK,P. 064,IPOH TIMOR,N. 27,PASIR PINJI,8,AS per 2018 Gazetted Redelineation
P. 065_N. 28,PERAK,P. 065,IPOH BARAT,N. 28,BERCHAM,15,AS per 2018 Gazetted Redelineation
P. 065_N. 29,PERAK,P. 065,IPOH BARAT,N. 29,KEPAYANG,13,AS per 2018 Gazetted Redelineation
P. 065_N. 30,PERAK,P. 065,IPOH BARAT,N. 30,BUNTONG,9,AS per 2018 Gazetted Redelineation
P. 066_N. 31,PERAK,P. 066,BATU GAJAH,N. 31,JELAPANG,77,AS per 2018 Gazetted Redelineation
P. 066_N. 32,PERAK,P. 066,BATU GAJAH,N. 32,MENGLEMBU,21,AS per 2018 Gazetted Redelineation
P. 066_N. 33,PERAK,P. 066,BATU GAJAH,N. 33,TRONOH,118,AS per 2018 Gazetted Redelineation
P. 067_N. 34,PERAK,P. 067,KUALA KANGSAR,N. 34,BUKIT CHANDAN,308,AS per 2018 Gazetted Redelineation
P. 067_N. 35,PERAK,P. 067,KUALA KANGSAR,N. 35,MANONG,268,AS per 2018 Gazetted Redelineation
P. 068_N. 36,PERAK,P. 068,BERUAS,N. 36,PENGKALAN BAHARU,387,AS per 2018 Gazetted Redelineation
P. 068_N. 37,PERAK,P. 068,BERUAS,N. 37,PANTAI REMIS,292,AS per 2018 Gazetted Redelineation
P. 068_N. 38,PERAK,P. 068,BERUAS,N. 38,ASTAKA,75,AS per 2018 Gazetted Redelineation
P. 069_N. 39,PERAK,P. 069,PARIT,N. 39,BELANJA,288,AS per 2018 Gazetted Redelineation
P. 069_N. 40,PERAK,P. 069,PARIT,N. 40,BOTA,272,AS per 2018 Gazetted Redelineation
P. 070_N. 41,PERAK,P. 070,KAMPAR,N. 41,MALIM NAWAR,142,AS per 2018 Gazetted Redelineation
P. 070_N. 42,PERAK,P. 070,KAMPAR,N. 42,KERANJI,54,AS per 2018 Gazetted Redelineation
P. 070_N. 43,PERAK,P. 070,KAMPAR,N. 43,TUALANG SEKAH,351,AS per 2018 Gazetted Redelineation
P. 071_N. 44,PERAK,P. 071,GOPENG,N. 44,SUNGAI RAPAT,54,AS per 2018 Gazetted Redelineation
P. 071_N. 45,PERAK,P. 071,GOPENG,N. 45,SIMPANG PULAI,121,AS per 2018 Gazetted Redelineation
P. 071_N. 46,PERAK,P. 071,GOPENG,N. 46,TEJA,402,AS per 2018 Gazetted Redelineation
P. 072_N. 47,PERAK,P. 072,TAPAH,N. 47,CHENDERIANG,571,AS per 2018 Gazetted Redelineation
