Created on,1/1/2024
INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Ballot
INDEPENDENT (2) CANDIDATE GENDER,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
UMNO,United Malays National Organisation
MCA,Malaysian Chinese Association
MIC,Malaysian Indian Congress
LPM,Labour Party of Malaya
PRM,Parti Rakyat Malaysian
NCP,National Convention Party
NEGARA,Parti Negara
PAP,People's Action Party
