Created on,16/7/2026
PH,Pakatan Harapan (PH) Component Party
PH CANDIDATE,Pakatan Harapan Candidate Name as per the Government Gazette (Form 8)
PH CANDIDATE SEX,Male/Female Classification
PH CANDIDATE AGE,Age of Pakatan Harapan Candidate
PH VOTE,Pakatan Harapan Valid Vote for the Candidate
PH CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PN,Perikatan Nasional (PN) Component Party
PN CANDIDATE,Perikatan Nasional Candidate Name as per the Government Gazette (Form 8)
PN CANDIDATE SEX,Male/Female Classification
PN CANDIDATE AGE,Age of Perikatan Nasional Candidate
PN CANDIDATE VOTE,Perikatan Nasional Valid Vote for the Candidate
PN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (1),Other Party (reserved for PPBM)
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name as per the Government Gazette (Form 8)
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (1) VOTE,Valid Vote for the Other Party Candidate
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (2),Other Party Name
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name as per the Government Gazette (Form 8)
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (2) CANDIDATE AGE,Age of Party Candidate
OTHER PARTY (2) VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent with Symbol
INDEPENDENT (1) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (2),Independent with Symbol
INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
UMNO,United Malays National Organisation
MCA,Malaysian Chinese Association
MIC,Malaysian Indian Congress
PKR,Parti Keadilan Rakyat
DAP,Democratic Action Party
AMANAH,Parti Amanah Negara
PPBM,Parti Pribumi Bersatu Malaysia
PAS,Parti Islam Se-Malaysia
GERAKAN,Parti Gerakan Rakyat Malaysia
PSM,Parti Sosialis Malaysia
POAM,Parti Orang Asli Malaysia
