Created on,16/11/2025,,,
PIS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
OTHER PARTY (1),Other Party (reserved for SAPP and STAR),,,
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name,,,
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification,,,
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate,,,
OTHER PARTY (1) VOTE,Other Party Candidate Valid Vote,,,
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
OTHER PARTY (2),Other Party,,,
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name,,,
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification,,,
OTHER PARTY (2) CANDIDATE AGE,Age of Other Party Candidate,,,
OTHER PARTY (2) VOTE,Other Party Candidate Valid Vote,,,
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
OTHER PARTY (3),Other Party,,,
OTHER PARTY (3) CANDIDATE,Other Party Candidate Name,,,
OTHER PARTY (3) CANDIDATE SEX,Male/Female Classification,,,
OTHER PARTY (3) CANDIDATE AGE,Age of Other Party Candidate,,,
OTHER PARTY (3) VOTE,Other Party Candidate Valid Vote,,,
OTHER PARTY (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
OTHER PARTY (4),Other Party,,,
OTHER PARTY (4) CANDIDATE,Other Party Candidate Name,,,
OTHER PARTY (4) CANDIDATE SEX,Male/Female Classification,,,
OTHER PARTY (4) CANDIDATE AGE,Age of Other Party Candidate,,,
OTHER PARTY (4) VOTE,Other Party Candidate Valid Vote,,,
OTHER PARTY (4) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
OTHER PARTY (5),Other Party,,,
OTHER PARTY (5) CANDIDATE,Other Party Candidate Name,,,
OTHER PARTY (5) CANDIDATE SEX,Male/Female Classification,,,
OTHER PARTY (5) CANDIDATE AGE,Age of Other Party Candidate,,,
OTHER PARTY (5) VOTE,Other Party Candidate Valid Vote,,,
OTHER PARTY (5) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
OTHER PARTY (6),Other Party,,,
OTHER PARTY (6) CANDIDATE,Other Party Candidate Name,,,
OTHER PARTY (6) CANDIDATE SEX,Male/Female Classification,,,
OTHER PARTY (6) CANDIDATE AGE,Age of Other Party Candidate,,,
OTHER PARTY (6) VOTE,Other Party Candidate Valid Vote,,,
OTHER PARTY (6) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
OTHER PARTY (7),Other Party,,,
OTHER PARTY (7) CANDIDATE,Other Party Candidate Name,,,
OTHER PARTY (7) CANDIDATE SEX,Male/Female Classification,,,
OTHER PARTY (7) CANDIDATE AGE,Age of Other Party Candidate,,,
OTHER PARTY (7) VOTE,Other Party Candidate Valid Vote,,,
OTHER PARTY (7) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
OTHER PARTY (8),Other Party,,,
OTHER PARTY (8) CANDIDATE,Other Party Candidate Name,,,
OTHER PARTY (8) CANDIDATE SEX,Male/Female Classification,,,
OTHER PARTY (8) CANDIDATE AGE,Age of Other Party Candidate,,,
OTHER PARTY (8) VOTE,Other Party Candidate Valid Vote,,,
OTHER PARTY (8) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
OTHER PARTY (9),Other Party,,,
OTHER PARTY (9) CANDIDATE,Other Party Candidate Name,,,
OTHER PARTY (9) CANDIDATE SEX,Male/Female Classification,,,
OTHER PARTY (9) CANDIDATE AGE,Age of Other Party Candidate,,,
OTHER PARTY (9) VOTE,Other Party Candidate Valid Vote,,,
OTHER PARTY (9) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
OTHER PARTY (10),Other Party,,,
OTHER PARTY (10) CANDIDATE,Other Party Candidate Name,,,
OTHER PARTY (10) CANDIDATE SEX,Male/Female Classification,,,
OTHER PARTY (10) CANDIDATE AGE,Age of Other Party Candidate,,,
OTHER PARTY (10) VOTE,Other Party Candidate Valid Vote,,,
OTHER PARTY (10) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
INDEPENDENT (1),Independent with Symbol,,,
INDEPENDENT (1) CANDIDATE,Independent Candidate Name,,,
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification,,,
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate,,,
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate,,,
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
INDEPENDENT (2),Independent with Symbol,,,
INDEPENDENT (2) CANDIDATE,Independent Candidate Name,,,
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification,,,
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate,,,
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate,,,
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
INDEPENDENT (3),Independent with Symbol,,,
INDEPENDENT (3) CANDIDATE,Independent Candidate Name,,,
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification,,,
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate,,,
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate,,,
INDEPENDENT (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
INDEPENDENT (4),Independent with Symbol,,,
INDEPENDENT (4) CANDIDATE,Independent Candidate Name,,,
INDEPENDENT (4) CANDIDATE SEX,Male/Female Classification,,,
INDEPENDENT (4) CANDIDATE AGE,Age of Independent Candidate,,,
INDEPENDENT (4) VOTE,Independent Valid Vote for the Candidate,,,
INDEPENDENT (4) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
INDEPENDENT (5),Independent with Symbol,,,
INDEPENDENT (5) CANDIDATE,Independent Candidate Name,,,
INDEPENDENT (5) CANDIDATE SEX,Male/Female Classification,,,
INDEPENDENT (5) CANDIDATE AGE,Age of Independent Candidate,,,
INDEPENDENT (5) VOTE,Independent Valid Vote for the Candidate,,,
INDEPENDENT (5) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
INDEPENDENT (6),Independent with Symbol,,,
INDEPENDENT (6) CANDIDATE,Independent Candidate Name,,,
INDEPENDENT (6) CANDIDATE SEX,Male/Female Classification,,,
INDEPENDENT (6) CANDIDATE AGE,Age of Independent Candidate,,,
INDEPENDENT (6) VOTE,Independent Valid Vote for the Candidate,,,
INDEPENDENT (6) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
,,,,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,,,,
PBS,Parti Bersatu Sabah,,,
PCS,Parti Cinta Sabah,,,
PGRS,Parti Gagasan Rakyat Sabah,,,
PHRS,Parti Harapan Rakyat Sabah,,,
USNO,United Sabah National Organisation (Baru),,,
UMNO,United Malays National Organisation,,,
MCA,Malaysian Chinese Association,,,
PBRS,Parti Bersatu Rakyat Sabah,,,
GERAKAN,Parti Gerakan Rakyat Malaysia,,,
PAS,Parti Islam Se-Malaysia,,,
PPBM,Parti Pribumi Bersatu Malaysia,,,
AMANAH,Parti Amanah Negara,,,
DAP,Democratic Action Party,,,
PKR,Parti Keadilan Rakyat,,,
SAPP,Sabah Progressive Party,,,
STAR,Parti Solidariti Tanah Airku,,,
PERPADUAN,Pertubuhan Perpaduan Rakyat Kebangsaan Sabah,,,
PKAN,Parti Kerjasama Anak Negeri,,,
BERSAMA,Parti Bersatu Sasa Malaysia,,,
PBK,Parti Bumi Kenyalang,,,
PBM,Parti Bangsa Malaysia,,,
KDM,Parti Kesejahteraan Demokratik Masyarakat,,,
UPKO,United Progressive Kinabalu Organisation,,,
PKS,Parti Kebangsaan Sabah,,,
ASPIRASI,Parti Aspirasi Rakyat Sarawak,,,
PPRS,Parti Perpaduan Rakyat Sabah,,,
SPP,Parti Damai Sabah,,,
RUMPUN,Parti Rumpun Sabah,,,
GAS,Pertubuhan Parti Gemilang Anak Sabah,,,
PR,Perjuangan Rakyat,,,


